Entity,Year,Share of alcohol in total household consumption (World Bank Global Consumption Database),Share of games of chance in total household consumption (World Bank Global Consumption Database),Share of tobacco in total household consumption (World Bank Global Consumption Database),Share of non-essential products in total household (World Bank Global Consumption Database)
Mali,2010,0.071206801,0.01705868,1.0110171,1.0992826
Mauritania,2010,0.0,0.0,0.47466621,0.47466621
Mauritius,2010,2.0705585,0.84857428,2.6262124,5.5453453
Mexico,2010,0.19682395,0.047358532,0.10259458,0.34677705
Moldova,2010,0.64196295,0.19569047,0.57941628,1.4170697
Mongolia,2010,0.95693606,0.0034090879,0.85781586,1.818161
Montenegro,2010,1.1024089,0.23993653,1.677079,3.0194244
Morocco,2010,0.020461136,0.01981907,2.2108197,2.2510998
Mozambique,2010,0.48885977,0.0050074868,0.13112427,0.62499154
Namibia,2010,0.88643813,0.0,0.19567798,1.0821161
Nepal,2010,1.750916,0.0,0.9366836,2.6875997
Nicaragua,2010,0.42446452,0.078775063,0.4586471,0.9618867
Niger,2010,0.021351352,0.0,0.89518702,0.91653836
Nigeria,2010,0.45038036,0.01756479,0.015958836,0.48390397
Pakistan,2010,0.0,0.0,1.0963081,1.0963081
Papua New Guinea,2010,0.38192075,0.17474607,3.1036448,3.6603117
Peru,2010,0.214572,0.0,0.05631528,0.27088729
Philippines,2010,0.68470901,0.0,1.0058239,1.6905329
Romania,2010,2.5351672,0.04115957,4.7583704,7.3346972
Russia,2010,1.5360442,1.1998917,0.61954767,3.3554835
Rwanda,2010,1.9668732,0.0,0.29251483,2.259388
Sao Tome and Principe,2010,3.3988631,0.91289103,0.0,4.3117542
Senegal,2010,0.52435833,0.0022361905,0.3672494,0.89384389
Serbia,2010,1.4810959,0.1506985,3.5151513,5.1469455
Sierra Leone,2010,1.2214493,0.0,1.7843223,3.0057716
South Africa,2010,0.58105636,0.070028923,0.50276625,1.1538515
Sri Lanka,2010,0.99190336,0.12954397,0.63988853,1.7613358
Swaziland,2010,0.33053598,0.022342809,0.13228482,0.4851636
Tajikistan,2010,0.08642295,0.024407165,0.19165438,0.30248451
Tanzania,2010,2.3347247,0.0020658101,0.59137422,2.9281647
Thailand,2010,0.925291,0.077064306,0.71806532,1.7204206
Timor,2010,1.029765,0.00026189853,3.1895504,4.2195773
Togo,2010,1.931795,0.077446379,0.14822821,2.1574697
Turkey,2010,0.27950767,0.087858848,4.6889648,5.0563312
Uganda,2010,1.0714073,0.013659369,0.20991202,1.2949787
Ukraine,2010,1.699803,0.00035464915,2.246927,3.9470847
Vietnam,2010,1.0899094,0.30597353,1.1346433,2.5305264
Yemen,2010,0.0,0.0,1.4316754,1.4316754
Zambia,2010,1.3046976,0.0,0.12239696,1.4270946
