Entity,Year,Births outside of marriage (% of all births)
Bulgaria,1968,9.6
Bulgaria,1969,9.2
Bulgaria,1970,8.5
Bulgaria,1971,9.6
Bulgaria,1972,9.9
Bulgaria,1973,10.7
Bulgaria,1974,9.6
Bulgaria,1975,9.3
Bulgaria,1976,9.5
Bulgaria,1977,9.8
Bulgaria,1978,9.9
Bulgaria,1979,10.6
Bulgaria,1980,10.9
Bulgaria,1981,10.3
Bulgaria,1982,11.4
Bulgaria,1983,11.3
Bulgaria,1984,11.4
Bulgaria,1985,11.7
Bulgaria,1986,10.9
Bulgaria,1987,10.8
Bulgaria,1988,11.0
Bulgaria,1989,11.4
Bulgaria,1990,12.4
Bulgaria,1991,15.5
Bulgaria,1992,18.5
Bulgaria,1993,22.1
Bulgaria,1994,24.5
Bulgaria,1995,25.7
Bulgaria,1996,28.1
Bulgaria,1997,30.0
Bulgaria,1998,31.5
Bulgaria,1999,35.1
Bulgaria,2000,38.4
Bulgaria,2001,42.0
Bulgaria,2002,42.8
Bulgaria,2003,46.1
Bulgaria,2004,48.7
Bulgaria,2005,49.0
Bulgaria,2006,50.8
Bulgaria,2007,50.2
Bulgaria,2008,51.1
Bulgaria,2009,53.4
Bulgaria,2010,54.1
Bulgaria,2011,56.1
Bulgaria,2012,57.4
Bulgaria,2013,59.1
Bulgaria,2014,58.8
Canada,1960,4.3
Canada,1961,4.5
Canada,1962,4.8
Canada,1963,5.3
Canada,1964,5.9
Canada,1965,6.7
Canada,1966,7.6
Canada,1967,8.3
Canada,1968,9.0
Canada,1969,9.2
Canada,1970,9.6
Canada,1971,9.0
Canada,1972,9.0
Canada,1973,9.0
Canada,1991,27.0
Canada,1992,28.2
Canada,1993,29.2
Canada,1994,29.6
Canada,1995,30.5
Canada,1996,30.9
Canada,1997,31.4
Canada,1998,31.3
Canada,1999,31.2
Canada,2000,31.7
Canada,2001,31.4
Canada,2002,31.6
Canada,2003,29.2
Canada,2004,28.8
Canada,2005,29.1
Canada,2006,30.6
Canada,2007,31.0
Canada,2008,32.1
Canada,2009,32.2
Canada,2010,32.3
Canada,2011,33.4
Canada,2012,33.0
Chile,2002,52.2
Chile,2006,61.2
Chile,2007,63.1
Chile,2008,65.1
Chile,2009,67.4
Chile,2010,68.5
Chile,2011,69.3
Chile,2012,70.3
Chile,2013,71.1
Costa Rica,1983,38.1
Costa Rica,1984,37.2
Costa Rica,1985,37.6
Costa Rica,1986,38.4
Costa Rica,1987,38.8
Costa Rica,1988,38.7
Costa Rica,1989,38.3
Costa Rica,1990,38.5
Costa Rica,1991,40.3
Costa Rica,1992,40.6
Costa Rica,1993,42.1
Costa Rica,1994,44.7
Costa Rica,1995,45.9
Costa Rica,1996,47.1
Costa Rica,1997,47.9
Costa Rica,1998,49.3
Costa Rica,1999,51.1
Costa Rica,2000,52.7
Costa Rica,2001,53.5
Costa Rica,2002,55.3
Costa Rica,2003,57.0
Costa Rica,2004,58.9
Costa Rica,2005,60.2
Costa Rica,2006,61.4
Costa Rica,2007,63.1
Costa Rica,2008,64.6
Costa Rica,2009,66.6
Costa Rica,2010,67.4
Costa Rica,2011,68.2
Costa Rica,2012,69.4
Costa Rica,2013,69.3
Costa Rica,2014,69.4
Croatia,1960,7.4
Croatia,1961,7.1
Croatia,1962,6.5
Croatia,1963,6.9
Croatia,1964,6.8
Croatia,1965,6.0
Croatia,1966,5.7
Croatia,1967,5.4
Croatia,1968,5.5
Croatia,1969,5.6
Croatia,1970,5.4
Croatia,1971,5.2
Croatia,1972,5.2
Croatia,1973,5.0
Croatia,1974,5.0
Croatia,1975,4.9
Croatia,1976,4.9
Croatia,1977,4.8
Croatia,1978,4.7
Croatia,1979,5.1
Croatia,1980,5.1
Croatia,1981,5.2
Croatia,1982,5.4
Croatia,1983,5.5
Croatia,1984,5.5
Croatia,1985,5.9
Croatia,1986,6.2
Croatia,1987,6.4
Croatia,1988,6.3
Croatia,1989,6.6
Croatia,1990,7.0
Croatia,1991,7.5
Croatia,1992,7.7
Croatia,1993,7.7
Croatia,1994,7.6
Croatia,1995,7.5
Croatia,1996,7.1
Croatia,1997,7.3
Croatia,1998,8.1
Croatia,1999,8.2
Croatia,2000,9.0
Croatia,2001,9.4
Croatia,2002,9.6
Croatia,2003,10.1
Croatia,2004,10.4
Croatia,2005,10.5
Croatia,2006,11.0
Croatia,2007,11.5
Croatia,2008,12.0
Croatia,2009,12.9
Croatia,2010,13.3
Croatia,2011,14.0
Croatia,2012,15.4
Croatia,2013,16.1
Croatia,2014,17.4
Cyprus,1961,0.3
Cyprus,1962,0.2
Cyprus,1963,0.1
Cyprus,1964,0.0
Cyprus,1965,0.1
Cyprus,1966,0.1
Cyprus,1967,0.2
Cyprus,1968,0.3
Cyprus,1969,0.3
Cyprus,1970,0.2
Cyprus,1971,0.4
Cyprus,1972,0.4
Cyprus,1973,0.4
Cyprus,1974,0.5
Cyprus,1975,0.7
Cyprus,1976,0.3
Cyprus,1977,0.1
Cyprus,1978,0.3
Cyprus,1979,0.4
Cyprus,1980,0.6
Cyprus,1981,0.5
Cyprus,1982,0.2
Cyprus,1983,0.3
Cyprus,1984,0.4
Cyprus,1985,0.4
Cyprus,1986,0.5
Cyprus,1987,0.6
Cyprus,1988,0.7
Cyprus,1989,0.7
Cyprus,1990,0.7
Cyprus,1991,0.8
Cyprus,1992,1.1
Cyprus,1993,0.8
Cyprus,1994,1.0
Cyprus,1995,1.4
Cyprus,1996,1.5
Cyprus,1997,1.6
Cyprus,1998,2.1
Cyprus,1999,2.2
Cyprus,2000,2.3
Cyprus,2001,2.5
Cyprus,2002,3.5
Cyprus,2003,3.5
Cyprus,2004,3.3
Cyprus,2005,4.4
Cyprus,2006,5.6
Cyprus,2007,8.7
Cyprus,2008,8.9
Cyprus,2009,11.7
Cyprus,2010,15.2
Cyprus,2011,16.9
Cyprus,2012,18.6
Czech Republic,1960,4.9
Czech Republic,1961,4.6
Czech Republic,1962,4.5
Czech Republic,1963,4.7
Czech Republic,1964,4.8
Czech Republic,1965,5.0
Czech Republic,1966,5.3
Czech Republic,1967,5.3
Czech Republic,1968,5.4
Czech Republic,1969,5.5
Czech Republic,1970,5.4
Czech Republic,1971,5.3
Czech Republic,1972,5.0
Czech Republic,1973,4.4
Czech Republic,1974,4.3
Czech Republic,1975,4.5
Czech Republic,1976,4.5
Czech Republic,1977,4.6
Czech Republic,1978,4.7
Czech Republic,1979,5.0
Czech Republic,1980,5.6
Czech Republic,1981,5.8
Czech Republic,1982,6.4
Czech Republic,1983,6.8
Czech Republic,1984,7.2
Czech Republic,1985,7.3
Czech Republic,1986,7.4
Czech Republic,1987,7.2
Czech Republic,1988,7.5
Czech Republic,1989,7.9
Czech Republic,1990,8.6
Czech Republic,1991,9.8
Czech Republic,1992,10.7
Czech Republic,1993,12.7
Czech Republic,1994,14.5
Czech Republic,1995,15.6
Czech Republic,1996,16.9
Czech Republic,1997,17.8
Czech Republic,1998,19.0
Czech Republic,1999,20.6
Czech Republic,2000,21.8
Czech Republic,2001,23.5
Czech Republic,2002,25.3
Czech Republic,2003,28.5
Czech Republic,2004,30.6
Czech Republic,2005,31.7
Czech Republic,2006,33.3
Czech Republic,2007,34.5
Czech Republic,2008,36.3
Czech Republic,2009,38.8
Czech Republic,2010,40.3
Czech Republic,2011,41.8
Czech Republic,2012,43.4
Czech Republic,2013,45.0
Czech Republic,2014,46.7
Denmark,1960,7.8
Denmark,1961,8.0
Denmark,1962,8.3
Denmark,1963,8.9
Denmark,1964,9.3
Denmark,1965,9.5
Denmark,1966,10.2
Denmark,1967,11.1
Denmark,1968,11.1
Denmark,1969,11.3
Denmark,1970,11.0
Denmark,1971,12.3
Denmark,1972,14.4
Denmark,1973,17.1
Denmark,1974,18.8
Denmark,1975,21.7
Denmark,1976,24.0
Denmark,1977,25.9
Denmark,1978,27.9
Denmark,1979,30.7
Denmark,1980,33.2
Denmark,1981,35.7
Denmark,1982,38.3
Denmark,1983,40.6
Denmark,1984,41.9
Denmark,1985,43.0
Denmark,1986,43.9
Denmark,1987,44.5
Denmark,1988,44.7
Denmark,1989,46.1
Denmark,1990,46.4
Denmark,1991,46.5
Denmark,1992,46.4
Denmark,1993,46.8
Denmark,1994,46.9
Denmark,1995,46.5
Denmark,1996,46.3
Denmark,1997,45.1
Denmark,1998,44.8
Denmark,1999,44.9
Denmark,2000,44.6
Denmark,2001,44.6
Denmark,2002,44.6
Denmark,2003,44.9
Denmark,2004,45.4
Denmark,2005,45.7
Denmark,2006,46.4
Denmark,2007,46.1
Denmark,2008,46.2
Denmark,2009,46.8
Denmark,2010,47.3
Denmark,2011,49.0
Denmark,2012,50.6
Denmark,2013,51.5
Denmark,2014,52.5
Estonia,1989,25.3
Estonia,1990,27.2
Estonia,1991,31.2
Estonia,1992,33.9
Estonia,1993,38.2
Estonia,1994,41.0
Estonia,1995,44.2
Estonia,1996,48.1
Estonia,1997,51.6
Estonia,1998,52.5
Estonia,1999,54.2
Estonia,2000,54.5
Estonia,2001,56.2
Estonia,2002,56.3
Estonia,2003,57.8
Estonia,2004,58.0
Estonia,2005,58.5
Estonia,2006,58.2
Estonia,2007,57.8
Estonia,2008,59.0
Estonia,2009,59.2
Estonia,2010,59.1
Estonia,2011,59.7
Estonia,2012,58.4
Finland,1960,4.0
Finland,1961,4.1
Finland,1962,4.0
Finland,1963,4.2
Finland,1964,4.4
Finland,1965,4.6
Finland,1966,4.8
Finland,1967,5.1
Finland,1968,5.3
Finland,1969,5.6
Finland,1970,5.8
Finland,1971,5.5
Finland,1972,6.7
Finland,1973,7.9
Finland,1974,9.0
Finland,1975,10.1
Finland,1976,10.9
Finland,1977,11.1
Finland,1978,11.4
Finland,1979,12.0
Finland,1980,13.1
Finland,1981,13.3
Finland,1982,13.6
Finland,1983,14.0
Finland,1984,15.1
Finland,1985,16.4
Finland,1986,18.0
Finland,1987,19.2
Finland,1988,20.6
Finland,1989,22.9
Finland,1990,25.2
Finland,1991,27.4
Finland,1992,28.9
Finland,1993,30.3
Finland,1994,31.3
Finland,1995,33.1
Finland,1996,35.4
Finland,1997,36.5
Finland,1998,37.2
Finland,1999,38.7
Finland,2000,39.2
Finland,2001,39.5
Finland,2002,39.9
Finland,2003,40.0
Finland,2004,40.8
Finland,2005,40.4
Finland,2006,40.5
Finland,2007,40.6
Finland,2008,40.7
Finland,2009,40.9
Finland,2010,41.1
Finland,2011,40.9
Finland,2012,41.5
Finland,2013,42.1
Finland,2014,42.8
France,1998,41.7
France,1999,42.7
France,2000,43.6
France,2001,44.7
France,2002,45.2
France,2003,46.2
France,2004,47.4
France,2005,48.4
France,2006,50.5
France,2007,51.7
France,2008,52.6
France,2009,53.7
France,2010,55.0
France,2011,55.8
France,2012,56.7
Germany,1960,7.6
Germany,1961,7.1
Germany,1962,6.6
Germany,1963,6.1
Germany,1964,5.9
Germany,1965,5.8
Germany,1966,5.7
Germany,1967,5.8
Germany,1968,6.1
Germany,1969,6.6
Germany,1970,7.2
Germany,1971,8.0
Germany,1972,8.3
Germany,1973,8.3
Germany,1974,8.5
Germany,1975,8.5
Germany,1976,8.8
Germany,1977,9.0
Germany,1978,9.9
Germany,1979,10.7
Germany,1980,11.9
Germany,1981,12.8
Germany,1982,14.3
Germany,1983,15.4
Germany,1984,15.9
Germany,1985,16.2
Germany,1986,16.1
Germany,1987,15.7
Germany,1988,15.7
Germany,1989,15.5
Germany,1990,15.3
Germany,1991,15.1
Germany,1992,14.9
Germany,1993,14.8
Germany,1994,15.4
Germany,1995,16.1
Germany,1996,17.0
Germany,1997,18.0
Germany,1998,20.0
Germany,1999,22.1
Germany,2000,23.4
Germany,2001,25.0
Germany,2002,26.1
Germany,2003,27.0
Germany,2004,27.9
Germany,2005,29.2
Germany,2006,30.0
Germany,2007,30.8
Germany,2008,32.1
Germany,2009,32.7
Germany,2010,33.3
Germany,2011,33.9
Germany,2012,34.5
Germany,2013,34.8
Germany,2014,35.0
Greece,1960,1.2
Greece,1961,1.2
Greece,1962,1.2
Greece,1963,1.2
Greece,1964,1.1
Greece,1965,1.1
Greece,1966,1.0
Greece,1967,1.0
Greece,1968,1.1
Greece,1969,1.1
Greece,1970,1.1
Greece,1971,1.2
Greece,1972,1.2
Greece,1973,1.3
Greece,1974,1.2
Greece,1975,1.3
Greece,1976,1.3
Greece,1977,1.3
Greece,1978,1.4
Greece,1979,1.4
Greece,1980,1.5
Greece,1981,1.6
Greece,1982,1.5
Greece,1983,1.6
Greece,1984,1.7
Greece,1985,1.8
Greece,1986,1.8
Greece,1987,2.1
Greece,1988,2.1
Greece,1989,2.1
Greece,1990,2.2
Greece,1991,2.4
Greece,1992,2.6
Greece,1993,2.8
Greece,1994,2.9
Greece,1995,3.0
Greece,1996,3.3
Greece,1997,3.5
Greece,1998,3.8
Greece,1999,3.9
Greece,2000,4.0
Greece,2001,4.3
Greece,2002,4.4
Greece,2003,4.8
Greece,2004,5.1
Greece,2005,5.1
Greece,2006,5.3
Greece,2007,5.8
Greece,2008,5.9
Greece,2009,6.6
Greece,2010,7.3
Greece,2011,7.4
Greece,2012,7.6
Greece,2013,7.0
Greece,2014,8.2
Hungary,1960,5.5
Hungary,1961,5.5
Hungary,1962,5.4
Hungary,1963,5.3
Hungary,1964,5.2
Hungary,1965,5.2
Hungary,1966,5.1
Hungary,1967,5.0
Hungary,1968,5.0
Hungary,1969,5.2
Hungary,1970,5.4
Hungary,1971,5.8
Hungary,1972,6.0
Hungary,1973,5.9
Hungary,1974,5.7
Hungary,1975,5.6
Hungary,1976,5.7
Hungary,1977,5.9
Hungary,1978,6.3
Hungary,1979,6.6
Hungary,1980,7.1
Hungary,1981,7.4
Hungary,1982,7.7
Hungary,1983,8.3
Hungary,1984,8.8
Hungary,1985,9.2
Hungary,1986,9.5
Hungary,1987,10.4
Hungary,1988,11.9
Hungary,1989,12.4
Hungary,1990,13.1
Hungary,1991,14.1
Hungary,1992,15.6
Hungary,1993,17.6
Hungary,1994,19.4
Hungary,1995,20.7
Hungary,1996,22.6
Hungary,1997,25.0
Hungary,1998,26.6
Hungary,1999,28.0
Hungary,2000,29.0
Hungary,2001,30.3
Hungary,2002,31.4
Hungary,2003,32.3
Hungary,2004,34.0
Hungary,2005,35.0
Hungary,2006,35.6
Hungary,2007,37.5
Hungary,2008,39.5
Hungary,2009,40.8
Hungary,2010,40.8
Hungary,2011,42.3
Hungary,2012,44.5
Hungary,2013,45.6
Hungary,2014,47.3
Iceland,1960,25.3
Iceland,1961,25.3
Iceland,1962,24.5
Iceland,1963,25.1
Iceland,1964,26.7
Iceland,1965,26.9
Iceland,1966,28.4
Iceland,1967,30.0
Iceland,1968,30.5
Iceland,1969,29.6
Iceland,1970,29.9
Iceland,1971,31.1
Iceland,1972,32.3
Iceland,1973,33.9
Iceland,1974,33.7
Iceland,1975,33.0
Iceland,1976,34.2
Iceland,1977,36.0
Iceland,1978,36.7
Iceland,1979,36.6
Iceland,1980,39.7
Iceland,1981,41.2
Iceland,1982,44.6
Iceland,1983,45.0
Iceland,1984,47.1
Iceland,1985,48.0
Iceland,1986,50.8
Iceland,1987,50.1
Iceland,1988,52.0
Iceland,1989,52.9
Iceland,1990,55.2
Iceland,1991,56.4
Iceland,1992,57.3
Iceland,1993,58.3
Iceland,1994,59.6
Iceland,1995,60.9
Iceland,1996,60.7
Iceland,1997,65.2
Iceland,1998,64.0
Iceland,1999,62.4
Iceland,2000,65.2
Iceland,2001,63.0
Iceland,2002,62.3
Iceland,2003,63.6
Iceland,2004,63.7
Iceland,2005,65.7
Iceland,2006,65.6
Iceland,2007,63.8
Iceland,2008,64.1
Iceland,2009,64.4
Iceland,2010,64.3
Iceland,2011,65.0
Iceland,2012,66.9
Ireland,1960,1.6
Ireland,1961,1.6
Ireland,1962,1.8
Ireland,1963,1.8
Ireland,1964,2.0
Ireland,1965,2.2
Ireland,1966,2.3
Ireland,1967,2.5
Ireland,1968,2.6
Ireland,1969,2.6
Ireland,1970,2.7
Ireland,1971,2.7
Ireland,1972,2.9
Ireland,1973,3.2
Ireland,1974,3.4
Ireland,1975,3.7
Ireland,1976,3.8
Ireland,1977,4.2
Ireland,1978,4.3
Ireland,1979,4.6
Ireland,1980,5.9
Ireland,1981,6.2
Ireland,1982,7.2
Ireland,1983,7.9
Ireland,1984,8.0
Ireland,1985,8.5
Ireland,1986,9.6
Ireland,1987,10.9
Ireland,1988,11.9
Ireland,1989,12.8
Ireland,1990,14.6
Ireland,1991,16.9
Ireland,1992,18.0
Ireland,1993,19.9
Ireland,1994,20.8
Ireland,1995,22.3
Ireland,1996,25.3
Ireland,1997,26.8
Ireland,1998,28.7
Ireland,1999,31.1
Ireland,2000,31.5
Ireland,2001,31.3
Ireland,2002,31.2
Ireland,2003,31.2
Ireland,2004,31.9
Ireland,2005,31.8
Ireland,2006,32.7
Ireland,2007,33.1
Ireland,2008,33.4
Ireland,2009,33.4
Ireland,2010,33.8
Ireland,2011,33.9
Ireland,2012,35.1
Israel,2002,5.3
Israel,2003,5.8
Israel,2004,5.6
Israel,2005,5.5
Israel,2006,5.6
Israel,2007,5.6
Israel,2008,5.7
Israel,2009,5.8
Israel,2010,5.8
Israel,2011,6.0
Israel,2012,5.8
Israel,2013,6.1
Israel,2014,6.3
Italy,1960,2.4
Italy,1961,2.4
Italy,1962,2.2
Italy,1963,2.2
Italy,1964,2.0
Italy,1965,2.0
Italy,1966,2.0
Italy,1967,2.0
Italy,1968,2.0
Italy,1969,2.0
Italy,1970,2.2
Italy,1971,2.3
Italy,1972,2.5
Italy,1973,2.5
Italy,1974,2.6
Italy,1975,2.6
Italy,1976,3.1
Italy,1977,3.5
Italy,1978,3.9
Italy,1979,3.9
Italy,1980,4.3
Italy,1981,4.4
Italy,1982,4.7
Italy,1983,4.9
Italy,1984,5.1
Italy,1985,5.4
Italy,1986,5.6
Italy,1987,5.8
Italy,1988,5.8
Italy,1989,6.1
Italy,1990,6.5
Italy,1991,6.7
Italy,1992,6.7
Italy,1993,7.4
Italy,1994,7.8
Italy,1995,8.1
Italy,1996,8.3
Italy,1997,7.0
Italy,1998,8.7
Italy,1999,9.2
Italy,2000,9.7
Italy,2001,9.9
Italy,2002,10.9
Italy,2003,13.0
Italy,2005,15.2
Italy,2006,16.2
Italy,2007,17.7
Italy,2008,18.9
Italy,2009,19.8
Italy,2010,21.5
Italy,2011,23.4
Italy,2012,24.5
Italy,2013,26.9
Italy,2014,28.8
Japan,1960,1.2
Japan,1965,1.0
Japan,1970,0.9
Japan,1975,0.8
Japan,1980,0.8
Japan,1985,1.0
Japan,1990,1.1
Japan,1995,1.2
Japan,2000,1.6
Japan,2001,1.7
Japan,2002,1.9
Japan,2003,1.9
Japan,2004,2.0
Japan,2005,2.0
Japan,2006,2.1
Japan,2007,2.0
Japan,2008,2.1
Japan,2009,2.1
Japan,2010,2.1
Japan,2011,2.2
Japan,2012,2.2
Japan,2013,2.2
Japan,2014,2.3
Korea,1981,1.1
Korea,1982,1.1
Korea,1983,1.0
Korea,1984,1.0
Korea,1985,1.0
Korea,1986,1.0
Korea,1987,0.9
Korea,1988,0.8
Korea,1989,0.8
Korea,1990,0.9
Korea,1991,1.0
Korea,1992,1.1
Korea,1993,1.2
Korea,1994,1.3
Korea,1995,1.2
Korea,1996,0.9
Korea,1997,0.6
Korea,1998,0.7
Korea,1999,0.8
Korea,2000,0.9
Korea,2001,1.0
Korea,2002,1.1
Korea,2003,1.3
Korea,2004,1.3
Korea,2005,1.5
Korea,2006,1.5
Korea,2007,1.6
Korea,2008,1.8
Korea,2009,2.0
Korea,2010,2.1
Korea,2011,2.1
Korea,2012,2.1
Korea,2013,2.1
Korea,2014,1.9
Latvia,1960,11.9
Latvia,1961,12.3
Latvia,1962,12.4
Latvia,1963,12.3
Latvia,1964,12.8
Latvia,1965,13.3
Latvia,1966,12.6
Latvia,1967,12.3
Latvia,1968,12.1
Latvia,1969,8.3
Latvia,1970,11.4
Latvia,1971,11.1
Latvia,1972,11.7
Latvia,1973,11.7
Latvia,1974,11.6
Latvia,1975,11.7
Latvia,1976,12.2
Latvia,1977,12.1
Latvia,1978,12.0
Latvia,1979,12.3
Latvia,1980,12.5
Latvia,1981,12.9
