Entity,Year,Bottom decile income/consumption per day,Difference between top and bottom decile income/consumption per day,World Bank region (including Advanced Industrialized category),pop
Argentina-Urban (inc),2004,1.790446,52.28102,Latin America and Caribbean,34.82
Argentina-Urban (inc),2005,2.012605,57.48826,Latin America and Caribbean,35.26
Argentina-Urban (inc),2006,2.270255,62.37431,Latin America and Caribbean,35.71
Argentina-Urban (inc),2007,2.49161,63.61516,Latin America and Caribbean,36.15
Argentina-Urban (inc),2008,2.630117,61.34243,Latin America and Caribbean,36.6
Argentina-Urban (inc),2009,2.69507,62.76565,Latin America and Caribbean,37.04
Argentina-Urban (inc),2010,3.513474,63.74136,Latin America and Caribbean,37.5
Argentina-Urban (inc),2011,3.953185,67.08787,Latin America and Caribbean,37.96
Argentina-Urban (inc),2012,3.981597,64.14539,Latin America and Caribbean,38.43
Argentina-Urban (inc),2013,4.130731,63.8871,Latin America and Caribbean,38.9
Argentina-Urban (inc),2014,3.92292,59.05701,Latin America and Caribbean,39.37
Argentina-Urban (inc),2016,4.232532,67.60424,Latin America and Caribbean,40.29
Armenia (cons),1999,1.223629,10.70273,Eastern Europe and Central Asia,3.09
Armenia (cons),2001,1.220031,9.909404,Eastern Europe and Central Asia,3.05
Armenia (cons),2002,1.33999,10.29465,Eastern Europe and Central Asia,3.03
Armenia (cons),2003,1.51741,10.11057,Eastern Europe and Central Asia,3.02
Armenia (cons),2004,1.574597,14.62637,Eastern Europe and Central Asia,3.0
Armenia (cons),2005,1.875821,15.46285,Eastern Europe and Central Asia,2.98
Armenia (cons),2006,2.028057,11.26578,Eastern Europe and Central Asia,2.96
Armenia (cons),2007,2.125733,13.08749,Eastern Europe and Central Asia,2.93
Armenia (cons),2008,2.383161,12.28101,Eastern Europe and Central Asia,2.91
Armenia (cons),2009,2.195265,10.41513,Eastern Europe and Central Asia,2.89
Armenia (cons),2010,2.18488,11.87361,Eastern Europe and Central Asia,2.88
Armenia (cons),2011,2.196007,11.54767,Eastern Europe and Central Asia,2.88
Armenia (cons),2012,2.251198,12.32516,Eastern Europe and Central Asia,2.88
Armenia (cons),2013,2.194052,13.02256,Eastern Europe and Central Asia,2.89
Armenia (cons),2014,2.225064,14.04572,Eastern Europe and Central Asia,2.91
Armenia (cons),2015,2.290362,15.82247,Eastern Europe and Central Asia,2.92
Armenia (cons),2016,2.329781,15.68149,Eastern Europe and Central Asia,2.92
Armenia (inc),1996,1.228389,17.58199,Eastern Europe and Central Asia,3.17
Australia (inc),1981,9.55455,70.23793,Advanced industrial economies,14.93
Australia (inc),1985,9.636938,76.31604,Advanced industrial economies,15.76
Australia (inc),1989,9.609976,80.19234,Advanced industrial economies,16.81
Australia (inc),1995,9.556979,72.93484,Advanced industrial economies,18.07
Australia (inc),2001,10.62555,86.24081,Advanced industrial economies,19.41
Australia (inc),2003,10.83192,89.04475,Advanced industrial economies,19.9
Australia (inc),2008,15.40431,134.6918,Advanced industrial economies,21.25
Australia (inc),2010,15.07922,129.3207,Advanced industrial economies,22.03
Austria (inc),2003,16.21784,98.62994,Advanced industrial economies,8.12
Austria (inc),2004,17.78704,105.3779,Advanced industrial economies,8.17
Austria (inc),2005,17.29526,95.51922,Advanced industrial economies,8.23
Austria (inc),2006,17.29999,102.5353,Advanced industrial economies,8.27
Austria (inc),2007,16.12139,109.3726,Advanced industrial economies,8.3
Austria (inc),2008,16.17684,112.8094,Advanced industrial economies,8.32
Austria (inc),2009,15.69799,121.0908,Advanced industrial economies,8.34
Austria (inc),2010,17.31341,114.5823,Advanced industrial economies,8.36
Austria (inc),2011,16.11214,113.9948,Advanced industrial economies,8.39
Austria (inc),2012,15.36774,110.5295,Advanced industrial economies,8.43
Austria (inc),2013,17.52977,119.1573,Advanced industrial economies,8.48
Austria (inc),2014,17.20403,116.2105,Advanced industrial economies,8.54
Austria (inc),2015,16.53144,115.1672,Advanced industrial economies,8.63
Azerbaijan (cons),1995,1.51548,13.56608,Eastern Europe and Central Asia,7.69
Azerbaijan (cons),2001,2.10471,18.19267,Eastern Europe and Central Asia,8.11
Azerbaijan (cons),2002,4.611953,9.44771,Eastern Europe and Central Asia,8.17
Azerbaijan (cons),2003,4.442307,10.30517,Eastern Europe and Central Asia,8.23
Azerbaijan (cons),2004,5.050705,9.21109,Eastern Europe and Central Asia,8.31
Azerbaijan (cons),2005,5.037564,9.340139,Eastern Europe and Central Asia,8.39
Bangladesh (cons),1984,1.097109,4.712522,South Asia,90.73
Bangladesh (cons),1986,1.30911,5.546878,South Asia,95.74
Bangladesh (cons),1989,1.072801,5.26601,South Asia,100.98
Bangladesh (cons),1992,0.9679404,4.503742,South Asia,111.22
Bangladesh (cons),1996,1.075349,6.934144,South Asia,121.27
Bangladesh (cons),2000,1.101589,7.104364,South Asia,131.58
Bangladesh (cons),2005,1.26588,7.94052,South Asia,143.43
Bangladesh (cons),2010,1.354862,8.118618,South Asia,152.15
Bangladesh (cons),2016,1.427004,8.920702,South Asia,162.95
Belarus (cons),1998,1.387559,9.655283,Eastern Europe and Central Asia,10.07
Belarus (cons),1999,1.396893,9.909943,Eastern Europe and Central Asia,10.03
Belarus (cons),2000,1.613234,10.93762,Eastern Europe and Central Asia,9.98
Belarus (cons),2001,2.112802,13.43509,Eastern Europe and Central Asia,9.93
Belarus (cons),2002,2.385016,14.71591,Eastern Europe and Central Asia,9.87
Belarus (cons),2003,2.534247,14.08895,Eastern Europe and Central Asia,9.8
Belarus (cons),2004,3.167779,14.44474,Eastern Europe and Central Asia,9.73
Belarus (cons),2005,3.681954,18.43005,Eastern Europe and Central Asia,9.66
Belarus (cons),2006,4.232305,22.02909,Eastern Europe and Central Asia,9.6
Belarus (cons),2007,4.729441,27.02923,Eastern Europe and Central Asia,9.56
Belarus (cons),2008,5.166445,26.09825,Eastern Europe and Central Asia,9.53
Belarus (cons),2009,5.246163,26.68332,Eastern Europe and Central Asia,9.51
Belarus (cons),2010,5.82276,30.62931,Eastern Europe and Central Asia,9.49
Belarus (cons),2011,6.160944,29.54638,Eastern Europe and Central Asia,9.47
Belarus (cons),2012,7.247126,32.64867,Eastern Europe and Central Asia,9.46
Belarus (cons),2013,8.099583,36.90717,Eastern Europe and Central Asia,9.47
Belarus (cons),2014,8.328916,39.60484,Eastern Europe and Central Asia,9.47
Belarus (cons),2015,8.002874,36.6966,Eastern Europe and Central Asia,9.49
Belarus (cons),2016,7.863942,36.58864,Eastern Europe and Central Asia,9.51
Belarus (inc),1993,3.371588,10.05938,Eastern Europe and Central Asia,10.24
Belarus (inc),1995,3.503941,19.80399,Eastern Europe and Central Asia,10.19
Belgium (inc),2003,14.14987,81.74999,Advanced industrial economies,10.38
Belgium (inc),2004,15.73406,101.1076,Advanced industrial economies,10.42
Belgium (inc),2005,15.80905,95.13329,Advanced industrial economies,10.48
Belgium (inc),2006,15.63287,86.71213,Advanced industrial economies,10.55
Belgium (inc),2007,15.89908,94.73591,Advanced industrial economies,10.63
Belgium (inc),2008,16.35078,91.85992,Advanced industrial economies,10.71
Belgium (inc),2009,15.55688,93.72661,Advanced industrial economies,10.8
Belgium (inc),2010,15.72894,92.89159,Advanced industrial economies,10.9
Belgium (inc),2011,15.43889,88.71532,Advanced industrial economies,11.05
Belgium (inc),2012,16.1174,89.02943,Advanced industrial economies,11.13
Belgium (inc),2013,15.89245,88.50945,Advanced industrial economies,11.18
Belgium (inc),2014,16.56745,91.94453,Advanced industrial economies,11.21
Belgium (inc),2015,16.86158,91.95443,Advanced industrial economies,11.27
Belize (cons),1995,1.037269,59.98178,Latin America and Caribbean,0.21
Belize (inc),1993,0.9524564,56.3406,Latin America and Caribbean,0.2
Belize (inc),1994,1.078444,56.11174,Latin America and Caribbean,0.2
Belize (inc),1996,0.8845276,39.8738,Latin America and Caribbean,0.21
Belize (inc),1997,0.5792403,44.94543,Latin America and Caribbean,0.22
Belize (inc),1998,0.8492166,35.1889,Latin America and Caribbean,0.23
Belize (inc),1999,0.7686947,34.30197,Latin America and Caribbean,0.24
Benin (cons),2003,0.7393374,7.30548,Sub-Saharan Africa,7.52
Benin (cons),2011,0.6665859,8.676455,Sub-Saharan Africa,9.46
Benin (cons),2015,0.2714301,9.939772,Sub-Saharan Africa,10.58
Bhutan (cons),2003,1.372265,14.36239,South Asia,0.62
Bhutan (cons),2007,1.61242,15.73439,South Asia,0.69
Bhutan (cons),2012,2.22203,22.61623,South Asia,0.75
Bhutan (cons),2017,2.405645,22.11613,South Asia,0.81
Bolivia (inc),1991,1.776116,22.52299,Latin America and Caribbean,6.86
Bolivia (inc),1997,0.4497692,42.05342,Latin America and Caribbean,7.87
Bolivia (inc),1999,0.2133054,34.73597,Latin America and Caribbean,8.18
Bolivia (inc),2000,0.1838545,36.45681,Latin America and Caribbean,8.34
Bolivia (inc),2001,0.3734452,34.71452,Latin America and Caribbean,8.5
Bolivia (inc),2002,0.3017595,36.71143,Latin America and Caribbean,8.65
Bolivia (inc),2004,0.8405523,39.28668,Latin America and Caribbean,8.97
Bolivia (inc),2005,0.4859178,43.50908,Latin America and Caribbean,9.13
Bolivia (inc),2006,0.6004859,44.49808,Latin America and Caribbean,9.28
Bolivia (inc),2007,0.8042933,42.33882,Latin America and Caribbean,9.44
Bolivia (inc),2008,0.951673,40.72728,Latin America and Caribbean,9.6
Bolivia (inc),2009,0.9489833,41.26363,Latin America and Caribbean,9.76
Bolivia (inc),2011,1.406818,40.91077,Latin America and Caribbean,10.08
Bolivia (inc),2012,1.182702,42.1016,Latin America and Caribbean,10.24
Bolivia (inc),2013,1.431223,48.47735,Latin America and Caribbean,10.4
Bolivia (inc),2014,1.595936,49.77324,Latin America and Caribbean,10.56
Bolivia (inc),2015,1.53853,46.25206,Latin America and Caribbean,10.72
Bolivia (inc),2016,1.443029,41.04026,Latin America and Caribbean,10.89
Bolivia-Urban (inc),1992,1.056454,24.33086,Latin America and Caribbean,4.1
Bosnia and Herzegovina (cons),2001,4.404192,26.04485,Eastern Europe and Central Asia,3.77
Bosnia and Herzegovina (cons),2004,5.456898,43.46957,Eastern Europe and Central Asia,3.78
Bosnia and Herzegovina (cons),2007,6.08716,44.6931,Eastern Europe and Central Asia,3.77
Bosnia and Herzegovina (cons),2011,5.661909,42.75319,Eastern Europe and Central Asia,3.69
Bosnia and Herzegovina (cons),2015,5.652038,41.09386,Eastern Europe and Central Asia,3.54
Botswana (cons),1986,0.5758238,16.71097,Sub-Saharan Africa,1.23
Botswana (cons),1993,0.6817233,28.64956,Sub-Saharan Africa,1.49
Botswana (cons),2003,0.6797149,43.31939,Sub-Saharan Africa,1.8
Botswana (cons),2009,1.002546,46.36536,Sub-Saharan Africa,1.98
Brazil (inc),1981,0.6813252,36.54012,Latin America and Caribbean,124.03
Brazil (inc),1982,0.6936697,37.48294,Latin America and Caribbean,126.95
Brazil (inc),1983,0.5861589,32.07127,Latin America and Caribbean,129.88
Brazil (inc),1984,0.6172748,31.6544,Latin America and Caribbean,132.8
Brazil (inc),1985,0.6892852,30.50454,Latin America and Caribbean,135.68
Brazil (inc),1986,1.126181,59.85781,Latin America and Caribbean,138.5
Brazil (inc),1987,0.7608822,47.95614,Latin America and Caribbean,141.27
Brazil (inc),1988,0.6484235,49.189,Latin America and Caribbean,144.0
Brazil (inc),1989,0.7068427,59.5515,Latin America and Caribbean,146.69
Brazil (inc),1990,0.7014405,43.66467,Latin America and Caribbean,149.35
Brazil (inc),1992,0.6026124,28.5653,Latin America and Caribbean,154.56
Brazil (inc),1993,0.6378776,44.14298,Latin America and Caribbean,157.13
Brazil (inc),1995,0.9418337,57.97234,Latin America and Caribbean,162.3
Brazil (inc),1996,0.8223347,58.17395,Latin America and Caribbean,164.91
Brazil (inc),1997,0.8498229,57.517,Latin America and Caribbean,167.55
Brazil (inc),1998,0.9518055,59.44343,Latin America and Caribbean,170.17
Brazil (inc),1999,0.9283325,55.00965,Latin America and Caribbean,172.76
Brazil (inc),2001,1.039883,60.41988,Latin America and Caribbean,177.75
Brazil (inc),2002,1.164237,61.28491,Latin America and Caribbean,180.15
Brazil (inc),2003,1.094446,57.37473,Latin America and Caribbean,182.48
Brazil (inc),2004,1.216448,56.42246,Latin America and Caribbean,184.74
Brazil (inc),2005,1.305074,59.36727,Latin America and Caribbean,186.92
Brazil (inc),2006,1.445747,62.8827,Latin America and Caribbean,189.01
Brazil (inc),2007,1.449879,63.79467,Latin America and Caribbean,191.03
Brazil (inc),2008,1.655293,66.00479,Latin America and Caribbean,192.98
Brazil (inc),2009,1.721747,67.41049,Latin America and Caribbean,194.9
Brazil (inc),2011,1.871548,71.77209,Latin America and Caribbean,198.69
Brazil (inc),2012,2.155631,77.18304,Latin America and Caribbean,200.56
Brazil (inc),2013,2.173623,81.73224,Latin America and Caribbean,202.41
Brazil (inc),2014,2.52483,80.06155,Latin America and Caribbean,204.21
Brazil (inc),2015,2.310549,75.40092,Latin America and Caribbean,205.96
Bulgaria (cons),1989,10.69634,36.28779,Eastern Europe and Central Asia,8.88
Bulgaria (cons),1994,5.944469,22.47795,Eastern Europe and Central Asia,8.44
Bulgaria (cons),1995,3.774392,29.27975,Eastern Europe and Central Asia,8.41
Bulgaria (cons),1997,3.185894,12.8634,Eastern Europe and Central Asia,8.31
Bulgaria (cons),2001,2.567729,22.2437,Eastern Europe and Central Asia,8.01
Bulgaria (cons),2003,3.212602,18.85536,Eastern Europe and Central Asia,7.78
Bulgaria (cons),2007,4.047473,23.46541,Eastern Europe and Central Asia,7.55
Bulgaria (inc),1992,6.920226,42.41879,Eastern Europe and Central Asia,8.54
Bulgaria (inc),2006,1.692771,25.85889,Eastern Europe and Central Asia,7.6
Bulgaria (inc),2007,3.263144,37.76134,Eastern Europe and Central Asia,7.55
Bulgaria (inc),2008,3.927333,37.51168,Eastern Europe and Central Asia,7.49
Bulgaria (inc),2009,4.013893,39.26194,Eastern Europe and Central Asia,7.44
Bulgaria (inc),2010,3.423806,39.98747,Eastern Europe and Central Asia,7.4
Bulgaria (inc),2011,3.112546,35.79428,Eastern Europe and Central Asia,7.35
Bulgaria (inc),2012,3.162033,39.86364,Eastern Europe and Central Asia,7.31
Bulgaria (inc),2013,3.161944,45.2158,Eastern Europe and Central Asia,7.27
Bulgaria (inc),2014,3.688488,50.17841,Eastern Europe and Central Asia,7.22
Burkina Faso (cons),1994,0.3018822,4.993803,Sub-Saharan Africa,9.82
Burkina Faso (cons),1998,0.322609,6.606189,Sub-Saharan Africa,10.97
Burkina Faso (cons),2003,0.538205,7.435726,Sub-Saharan Africa,12.65
Burkina Faso (cons),2009,0.6513406,6.99535,Sub-Saharan Africa,15.14
Burkina Faso (cons),2014,0.9922981,7.166596,Sub-Saharan Africa,17.59
Burundi (cons),1992,0.479829,3.260304,Sub-Saharan Africa,5.66
Burundi (cons),1999,0.2234686,4.005642,Sub-Saharan Africa,6.19
Burundi (cons),2006,0.6293833,3.760604,Sub-Saharan Africa,7.68
Burundi (cons),2014,0.4937148,5.055211,Sub-Saharan Africa,9.89
Cabo Verde (cons),2002,1.144957,29.56005,Sub-Saharan Africa,0.45
Cabo Verde (cons),2007,1.559979,28.15162,Sub-Saharan Africa,0.49
Cameroon (cons),1996,0.7572901,10.28143,Sub-Saharan Africa,13.81
Cameroon (cons),2001,1.076171,13.46727,Sub-Saharan Africa,15.67
Cameroon (cons),2007,1.00457,12.4877,Sub-Saharan Africa,18.4
Cameroon (cons),2014,0.9124576,17.67621,Sub-Saharan Africa,22.24
Canada (inc),1981,11.0166,90.6461,Advanced industrial economies,24.9
Canada (inc),1987,12.2406,90.5115,Advanced industrial economies,26.55
Canada (inc),1991,12.62411,89.75697,Advanced industrial economies,28.17
Canada (inc),1994,12.7687,91.59003,Advanced industrial economies,29.11
Canada (inc),1997,12.18496,93.35892,Advanced industrial economies,29.99
Canada (inc),1998,12.23692,103.3289,Advanced industrial economies,30.25
Canada (inc),2000,12.3677,105.8435,Advanced industrial economies,30.77
Canada (inc),2004,13.08085,114.5822,Advanced industrial economies,32.0
Canada (inc),2007,15.00472,127.4306,Advanced industrial economies,32.89
Canada (inc),2010,15.28097,128.7408,Advanced industrial economies,34.01
Canada (inc),2013,13.5972,131.3249,Advanced industrial economies,35.16
Central African Republic (cons),1992,0.0807584,5.505613,Sub-Saharan Africa,3.1
Central African Republic (cons),2003,0.3988642,6.119209,Sub-Saharan Africa,3.98
Central African Republic (cons),2008,0.2932642,10.90894,Sub-Saharan Africa,4.35
Chad (cons),2003,0.4934288,5.666408,Sub-Saharan Africa,9.35
Chad (cons),2011,0.5743207,9.892511,Sub-Saharan Africa,12.29
Chile (inc),1987,1.140868,43.50051,Latin America and Caribbean,12.59
Chile (inc),1990,1.398149,53.88161,Latin America and Caribbean,13.24
Chile (inc),1992,1.790517,54.80484,Latin America and Caribbean,13.67
Chile (inc),1994,1.727931,62.76744,Latin America and Caribbean,14.09
Chile (inc),1996,2.023028,65.55829,Latin America and Caribbean,14.5
Chile (inc),1998,2.038932,71.31367,Latin America and Caribbean,14.89
Chile (inc),2000,1.840101,57.97021,Latin America and Caribbean,15.26
Chile (inc),2003,1.908665,55.28212,Latin America and Caribbean,15.8
Chile (inc),2006,2.465359,54.22314,Latin America and Caribbean,16.32
Chile (inc),2009,2.495037,59.84949,Latin America and Caribbean,16.83
Chile (inc),2011,3.004796,61.91906,Latin America and Caribbean,17.15
Chile (inc),2013,3.835095,74.10458,Latin America and Caribbean,17.46
Chile (inc),2015,3.676751,78.59595,Latin America and Caribbean,17.76
China* (cons),2008,1.251029,18.2687,East Asia and Pacific,1324.66
China* (cons),2012,1.724763,24.7188,East Asia and Pacific,1350.7
China-Rural (cons),1990,0.6067736,3.477581,East Asia and Pacific,835.02
China-Rural (cons),1993,0.6357945,4.084344,East Asia and Pacific,835.48
China-Rural (cons),1996,0.7903686,5.313403,East Asia and Pacific,828.96
China-Rural (cons),1999,0.7536388,5.664518,East Asia and Pacific,815.97
China-Rural (cons),2002,0.803883,7.144768,East Asia and Pacific,788.41
China-Rural (cons),2005,1.042333,8.42772,East Asia and Pacific,749.35
China-Rural (cons),2008,1.095602,11.0486,East Asia and Pacific,708.17
China-Rural (cons),2010,1.229273,13.06429,East Asia and Pacific,679.21
China-Rural (cons),2011,1.352029,13.13871,East Asia and Pacific,664.36
China-Rural (cons),2012,1.44043,14.91911,East Asia and Pacific,649.83
China-Rural (cons),2013,2.034518,14.86763,East Asia and Pacific,635.69
China-Rural (cons),2014,2.198912,16.11165,East Asia and Pacific,621.97
China-Rural (cons),2015,2.461317,17.08139,East Asia and Pacific,608.63
China-Rural (inc),1981,0.39648,1.57344,East Asia and Pacific,793.94
China-Rural (inc),1984,0.5393796,2.422524,East Asia and Pacific,806.62
China-Rural (inc),1987,0.5733863,3.283046,East Asia and Pacific,821.06
China-Urban (cons),1990,1.074636,4.434505,East Asia and Pacific,300.17
China-Urban (cons),1993,1.240578,6.307085,East Asia and Pacific,342.96
China-Urban (cons),1996,1.442651,7.498737,East Asia and Pacific,388.59
China-Urban (cons),1999,1.497942,9.528329,East Asia and Pacific,436.77
China-Urban (cons),2002,1.80895,13.39429,East Asia and Pacific,491.99
China-Urban (cons),2005,2.128343,17.46387,East Asia and Pacific,554.37
China-Urban (cons),2008,2.641052,21.77556,East Asia and Pacific,616.48
China-Urban (cons),2010,3.050117,25.64321,East Asia and Pacific,658.5
China-Urban (cons),2011,3.266144,26.87387,East Asia and Pacific,679.77
China-Urban (cons),2012,3.486187,28.43635,East Asia and Pacific,700.86
China-Urban (cons),2013,3.388221,31.46381,East Asia and Pacific,721.69
China-Urban (cons),2014,3.467342,32.76444,East Asia and Pacific,742.3
China-Urban (cons),2015,3.783211,34.40529,East Asia and Pacific,762.59
China-Urban (inc),1981,0.9670199,2.209539,East Asia and Pacific,199.95
China-Urban (inc),1984,1.16382,2.437874,East Asia and Pacific,230.21
China-Urban (inc),1987,1.236789,3.417242,East Asia and Pacific,262.98
Colombia (inc),1992,1.020283,37.92374,Latin America and Caribbean,35.56
Colombia (inc),1996,0.4017804,39.46182,Latin America and Caribbean,38.05
Colombia (inc),1999,0.292389,38.88774,Latin America and Caribbean,39.82
Colombia (inc),2000,0.1211244,43.67931,Latin America and Caribbean,40.4
Colombia (inc),2001,0.4066599,35.44198,Latin America and Caribbean,40.99
Colombia (inc),2002,0.9456322,40.59729,Latin America and Caribbean,41.57
Colombia (inc),2003,1.066759,38.27346,Latin America and Caribbean,42.15
Colombia (inc),2004,1.221301,42.31218,Latin America and Caribbean,42.72
Colombia (inc),2005,1.267182,43.20884,Latin America and Caribbean,43.29
Colombia (inc),2008,1.097838,49.98664,Latin America and Caribbean,44.9
Colombia (inc),2009,1.237872,49.52668,Latin America and Caribbean,45.42
Colombia (inc),2010,1.377524,54.15709,Latin America and Caribbean,45.92
Colombia (inc),2011,1.539857,54.81095,Latin America and Caribbean,46.41
Colombia (inc),2012,1.542802,54.03833,Latin America and Caribbean,46.88
Colombia (inc),2013,1.636191,56.98458,Latin America and Caribbean,47.34
Colombia (inc),2014,1.751379,59.9773,Latin America and Caribbean,47.79
Colombia (inc),2015,1.858644,56.28207,Latin America and Caribbean,48.23
Colombia (inc),2016,1.842671,55.33728,Latin America and Caribbean,48.65
Colombia-Urban (inc),1988,1.172644,38.43773,Latin America and Caribbean,22.17
Colombia-Urban (inc),1989,1.280585,39.1534,Latin America and Caribbean,22.78
Colombia-Urban (inc),1991,1.302612,37.08556,Latin America and Caribbean,24.02
Comoros (cons),2004,1.249856,37.78784,Sub-Saharan Africa,0.6
Comoros (cons),2014,0.9388461,18.68945,Sub-Saharan Africa,0.76
"Congo, Democratic Republic of (cons)",2005,0.1662115,2.281631,Sub-Saharan Africa,54.75
"Congo, Democratic Republic of (cons)",2012,0.3149086,4.505152,Sub-Saharan Africa,68.98
"Congo, Republic of (cons)",2005,0.5633201,10.02767,Sub-Saharan Africa,3.72
"Congo, Republic of (cons)",2011,0.6022198,14.04022,Sub-Saharan Africa,4.51
Costa Rica (inc),1981,0.5853281,17.86618,Latin America and Caribbean,2.45
Costa Rica (inc),1986,0.8668435,12.19247,Latin America and Caribbean,2.8
Costa Rica (inc),1989,0.5400957,29.30683,Latin America and Caribbean,3.02
Costa Rica (inc),1990,0.8940098,30.16107,Latin America and Caribbean,3.1
Costa Rica (inc),1991,0.8372827,28.76972,Latin America and Caribbean,3.18
Costa Rica (inc),1992,0.9813278,29.95342,Latin America and Caribbean,3.26
Costa Rica (inc),1993,1.073135,34.74406,Latin America and Caribbean,3.34
Costa Rica (inc),1994,1.356334,40.95409,Latin America and Caribbean,3.43
Costa Rica (inc),1995,1.282876,37.38666,Latin America and Caribbean,3.51
Costa Rica (inc),1996,1.138729,36.05976,Latin America and Caribbean,3.6
Costa Rica (inc),1997,1.465596,37.29256,Latin America and Caribbean,3.68
Costa Rica (inc),1998,1.749549,42.0149,Latin America and Caribbean,3.77
Costa Rica (inc),1999,1.453744,43.51205,Latin America and Caribbean,3.85
Costa Rica (inc),2000,1.404296,42.93666,Latin America and Caribbean,3.93
Costa Rica (inc),2001,1.798538,65.68059,Latin America and Caribbean,4.0
Costa Rica (inc),2002,1.896713,67.95406,Latin America and Caribbean,4.06
Costa Rica (inc),2003,1.942435,60.5533,Latin America and Caribbean,4.13
Costa Rica (inc),2004,2.017631,55.53213,Latin America and Caribbean,4.19
Costa Rica (inc),2005,2.37622,56.35739,Latin America and Caribbean,4.25
Costa Rica (inc),2006,2.34529,63.52825,Latin America and Caribbean,4.31
Costa Rica (inc),2007,2.925409,70.93168,Latin America and Caribbean,4.37
Costa Rica (inc),2008,2.892051,69.31347,Latin America and Caribbean,4.43
Costa Rica (inc),2009,2.823593,79.64625,Latin America and Caribbean,4.49
Costa Rica (inc),2010,3.256636,73.69954,Latin America and Caribbean,4.55
Costa Rica (inc),2011,3.170671,76.20322,Latin America and Caribbean,4.6
Costa Rica (inc),2012,3.278545,78.72938,Latin America and Caribbean,4.65
Costa Rica (inc),2013,3.307525,81.91258,Latin America and Caribbean,4.71
Costa Rica (inc),2014,3.390554,81.19003,Latin America and Caribbean,4.76
Costa Rica (inc),2015,3.392841,80.9697,Latin America and Caribbean,4.81
Costa Rica (inc),2016,3.491567,84.45818,Latin America and Caribbean,4.86
Cote d'Ivoire (cons),1985,1.572277,29.70638,Sub-Saharan Africa,10.22
Cote d'Ivoire (cons),1986,2.046111,19.45626,Sub-Saharan Africa,10.62
Cote d'Ivoire (cons),1987,1.630451,19.68521,Sub-Saharan Africa,11.02
Cote d'Ivoire (cons),1988,1.414572,13.48313,Sub-Saharan Africa,11.42
Cote d'Ivoire (cons),1993,0.9666701,11.54916,Sub-Saharan Africa,13.62
Cote d'Ivoire (cons),1995,1.193885,13.24728,Sub-Saharan Africa,14.54
Cote d'Ivoire (cons),1998,0.9798417,10.5333,Sub-Saharan Africa,15.88
Cote d'Ivoire (cons),2002,0.9361315,12.37729,Sub-Saharan Africa,17.37
Cote d'Ivoire (cons),2008,0.7185376,12.0277,Sub-Saharan Africa,19.5
Cote d'Ivoire (cons),2015,0.8112112,11.46461,Sub-Saharan Africa,23.11
Croatia (cons),1998,11.49766,61.72259,Eastern Europe and Central Asia,4.5
Croatia (cons),1999,6.206587,31.1967,Eastern Europe and Central Asia,4.55
Croatia (cons),2000,6.517014,39.61756,Eastern Europe and Central Asia,4.43
Croatia (cons),2001,6.116468,36.61193,Eastern Europe and Central Asia,4.44
Croatia (cons),2004,9.588827,54.67266,Eastern Europe and Central Asia,4.44
Croatia (cons),2008,8.860826,66.22727,Eastern Europe and Central Asia,4.43
Croatia (cons),2009,8.586195,62.27641,Eastern Europe and Central Asia,4.43
Croatia (cons),2010,8.739157,41.14502,Eastern Europe and Central Asia,4.42
