Entity,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Historical,1892,5.111044
Historical,1893,5.136584
Historical,1894,5.22787
Historical,1895,5.351065
Historical,1896,5.429017
Historical,1897,5.543612
Historical,1898,5.652376
Historical,1899,5.819317
Historical,1900,6.056737
Historical,1901,6.230751
Historical,1902,6.347917
Historical,1903,6.595517
Historical,1904,6.672369
Historical,1905,6.855108
Historical,1906,7.043236
Historical,1907,7.36466
Historical,1908,7.247909
Historical,1909,7.412944
Historical,1910,7.451339
Historical,1911,7.48937
Historical,1912,7.606259
Historical,1913,7.816688
Historical,1914,7.401985
Historical,1915,7.320023
Historical,1916,7.519393
Historical,1917,7.699044
Historical,1918,7.62526
Historical,1919,7.149887
Historical,1920,7.801949
Historical,1921,7.437493
Historical,1922,7.677516
Historical,1923,8.175316
Historical,1924,8.184663
Historical,1925,8.253459
Historical,1926,8.298616
Historical,1927,8.60791
Historical,1928,8.620914
Historical,1929,8.907968
Historical,1930,8.79894
Historical,1931,8.537335
Historical,1932,8.280586
Historical,1933,8.549788
Historical,1934,8.915188
Historical,1935,9.17752
Historical,1936,9.619883
Historical,1937,9.949008
Historical,1938,9.723009
Historical,1939,9.909232
Historical,1940,10.403578
Historical,1941,10.626051
Historical,1942,10.636619
Historical,1943,10.788394
Historical,1944,10.721013
Historical,1945,9.86243
Historical,1946,10.114735
Historical,1947,10.638962
Historical,1948,10.863323
Historical,1949,10.585903
Historical,1950,11.657012
Historical,1951,12.332944
Historical,1952,12.501518
Historical,1953,12.774388
Historical,1954,12.963686
Historical,1955,13.702498
Historical,1956,14.317252
Historical,1957,14.754808
Historical,1958,15.088685
Historical,1959,15.623169
Historical,1960,15.538909
Historical,1961,15.342277
Historical,1962,15.578825
Historical,1963,15.925664
Historical,1964,16.333088
Historical,1965,16.660546
Historical,1966,17.087363
Historical,1967,17.394907
Historical,1968,18.02343
Historical,1969,18.839355
Historical,1970,19.690548
Historical,1971,20.116523
Historical,1972,20.594256
Historical,1973,21.361049
Historical,1974,21.244373
Historical,1975,21.031451
Historical,1976,21.943064
Historical,1977,22.408518
Historical,1978,22.479369
Historical,1979,23.413987
Historical,1980,23.366405
Historical,1981,22.801812
Historical,1982,22.682142
Historical,1983,22.761663
Historical,1984,23.56244
Historical,1985,24.203773
Historical,1986,24.945641
Historical,1987,25.598992
Historical,1988,26.431735
Historical,1989,27.003333
Historical,1990,27.024354
Historical,1991,27.312798
Historical,1992,27.134295
Historical,1993,27.095385
Historical,1994,27.460364
Historical,1995,27.883869
Historical,1996,28.306643
Historical,1997,30.437517
Historical,1998,28.482587
Historical,1999,28.333047
Historical,2000,29.379836
Historical,2001,29.453605
Historical,2002,30.397202
Historical,2003,31.948771
Historical,2004,33.083227
Historical,2005,33.702877
Historical,2006,34.881629
Historical,2007,34.809941
Historical,2008,36.010373
Historical,2009,37.288306
Historical,2010,38.265679
Historical,2011,39.323299
Historical,2012,40.778535
Historical,2013,40.858162
Historical,2014,41.373736
Historical,2015,41.41012
Historical,2016,40.438809
Historical,2017,41.240425
Historical,2018,42.231942
Start in 2000,2000,29.379836
Start in 2000,2001,29.522114
Start in 2000,2002,29.619075
Start in 2000,2003,29.673696
Start in 2000,2004,29.6888
Start in 2000,2005,29.667067
Start in 2000,2006,29.611036
Start in 2000,2007,29.523117
Start in 2000,2008,29.405592
Start in 2000,2009,29.260622
Start in 2000,2010,29.090257
Start in 2000,2011,28.896434
Start in 2000,2012,28.680989
Start in 2000,2013,28.445656
Start in 2000,2014,28.192079
Start in 2000,2015,27.921806
Start in 2000,2016,27.636304
Start in 2000,2017,27.336957
Start in 2000,2018,27.02507
Start in 2000,2019,26.701876
Start in 2000,2020,26.368535
Start in 2000,2021,26.026143
Start in 2000,2022,25.675731
Start in 2000,2023,25.318268
Start in 2000,2024,24.954666
Start in 2000,2025,24.585784
Start in 2000,2026,24.212425
Start in 2000,2027,23.835348
Start in 2000,2028,23.455259
Start in 2000,2029,23.072822
Start in 2000,2030,22.68866
Start in 2000,2031,22.303354
Start in 2000,2032,21.917445
Start in 2000,2033,21.531441
Start in 2000,2034,21.145814
Start in 2000,2035,20.761003
Start in 2000,2036,20.377417
Start in 2000,2037,19.995434
Start in 2000,2038,19.615406
Start in 2000,2039,19.237657
Start in 2000,2040,18.862489
Start in 2000,2041,18.490176
Start in 2000,2042,18.120974
Start in 2000,2043,17.755115
Start in 2000,2044,17.392812
Start in 2000,2045,17.03426
Start in 2000,2046,16.679635
Start in 2000,2047,16.329097
Start in 2000,2048,15.982789
Start in 2000,2049,15.640841
Start in 2000,2050,15.303367
Start in 2000,2051,14.970469
Start in 2000,2052,14.642236
Start in 2000,2053,14.318746
Start in 2000,2054,14.000065
Start in 2000,2055,13.68625
Start in 2000,2056,13.377345
Start in 2000,2057,13.07339
Start in 2000,2058,12.774413
Start in 2000,2059,12.480434
Start in 2000,2060,12.191468
Start in 2000,2061,11.90752
Start in 2000,2062,11.62859
Start in 2000,2063,11.354673
Start in 2000,2064,11.085756
Start in 2000,2065,10.821823
Start in 2000,2066,10.562852
Start in 2000,2067,10.308816
Start in 2000,2068,10.059685
Start in 2000,2069,9.815425
Start in 2000,2070,9.575998
Start in 2000,2071,9.341363
Start in 2000,2072,9.111475
Start in 2000,2073,8.886289
Start in 2000,2074,8.665754
Start in 2000,2075,8.449819
Start in 2000,2076,8.238431
Start in 2000,2077,8.031535
Start in 2000,2078,7.829073
Start in 2000,2079,7.630986
Start in 2000,2080,7.437216
Start in 2000,2081,7.2477
Start in 2000,2082,7.062379
Start in 2000,2083,6.881188
Start in 2000,2084,6.704064
Start in 2000,2085,6.530943
Start in 2000,2086,6.361761
Start in 2000,2087,6.196454
Start in 2000,2088,6.034955
Start in 2000,2089,5.877201
Start in 2000,2090,5.723125
Start in 2000,2091,5.572662
Start in 2000,2092,5.425747
Start in 2000,2093,5.282316
Start in 2000,2094,5.142303
Start in 2000,2095,5.005644
Start in 2000,2096,4.872276
Start in 2000,2097,4.742133
Start in 2000,2098,4.615153
Start in 2000,2099,4.491274
Start in 2000,2100,4.370433
Start in 2001,2001,29.453605
Start in 2001,2002,29.507328
Start in 2001,2003,29.523408
Start in 2001,2004,29.504341
Start in 2001,2005,29.452497
Start in 2001,2006,29.370123
Start in 2001,2007,29.259355
Start in 2001,2008,29.122216
Start in 2001,2009,28.960627
Start in 2001,2010,28.776407
Start in 2001,2011,28.571279
Start in 2001,2012,28.346878
Start in 2001,2013,28.104749
Start in 2001,2014,27.846356
Start in 2001,2015,27.573083
Start in 2001,2016,27.28624
Start in 2001,2017,26.987064
Start in 2001,2018,26.676724
Start in 2001,2019,26.356324
Start in 2001,2020,26.026905
Start in 2001,2021,25.68945
Start in 2001,2022,25.344885
Start in 2001,2023,24.994084
Start in 2001,2024,24.637866
Start in 2001,2025,24.277006
Start in 2001,2026,23.912229
Start in 2001,2027,23.544218
Start in 2001,2028,23.173614
Start in 2001,2029,22.801018
Start in 2001,2030,22.426993
Start in 2001,2031,22.052066
Start in 2001,2032,21.67673
Start in 2001,2033,21.301445
Start in 2001,2034,20.926642
Start in 2001,2035,20.55272
Start in 2001,2036,20.180052
Start in 2001,2037,19.808985
Start in 2001,2038,19.43984
Start in 2001,2039,19.072914
Start in 2001,2040,18.708484
Start in 2001,2041,18.346802
Start in 2001,2042,17.988102
Start in 2001,2043,17.6326
Start in 2001,2044,17.280492
Start in 2001,2045,16.931958
Start in 2001,2046,16.587161
Start in 2001,2047,16.24625
Start in 2001,2048,15.909359
Start in 2001,2049,15.576607
Start in 2001,2050,15.248103
Start in 2001,2051,14.923942
Start in 2001,2052,14.604207
Start in 2001,2053,14.288973
Start in 2001,2054,13.978303
Start in 2001,2055,13.67225
Start in 2001,2056,13.370858
Start in 2001,2057,13.074166
Start in 2001,2058,12.7822
Start in 2001,2059,12.494983
Start in 2001,2060,12.212529
Start in 2001,2061,11.934845
Start in 2001,2062,11.661934
Start in 2001,2063,11.393791
Start in 2001,2064,11.130408
Start in 2001,2065,10.871771
Start in 2001,2066,10.617861
Start in 2001,2067,10.368655
Start in 2001,2068,10.124128
Start in 2001,2069,9.884248
Start in 2001,2070,9.648982
Start in 2001,2071,9.418294
Start in 2001,2072,9.192144
Start in 2001,2073,8.970489
Start in 2001,2074,8.753286
Start in 2001,2075,8.540488
Start in 2001,2076,8.332046
Start in 2001,2077,8.12791
Start in 2001,2078,7.928027
Start in 2001,2079,7.732345
Start in 2001,2080,7.540809
Start in 2001,2081,7.353363
Start in 2001,2082,7.169949
Start in 2001,2083,6.990511
Start in 2001,2084,6.81499
Start in 2001,2085,6.643326
Start in 2001,2086,6.475461
Start in 2001,2087,6.311334
Start in 2001,2088,6.150886
Start in 2001,2089,5.994055
Start in 2001,2090,5.840781
Start in 2001,2091,5.691003
Start in 2001,2092,5.544661
Start in 2001,2093,5.401694
Start in 2001,2094,5.262042
Start in 2001,2095,5.125644
Start in 2001,2096,4.99244
Start in 2001,2097,4.862372
Start in 2001,2098,4.735379
Start in 2001,2099,4.611403
Start in 2001,2100,4.490385
Start in 2002,2002,30.397202
Start in 2002,2003,30.486126
Start in 2002,2004,30.528936
Start in 2002,2005,30.528849
Start in 2002,2006,30.488908
Start in 2002,2007,30.411995
Start in 2002,2008,30.300833
Start in 2002,2009,30.157997
Start in 2002,2010,29.985922
Start in 2002,2011,29.786907
Start in 2002,2012,29.563124
Start in 2002,2013,29.316623
Start in 2002,2014,29.049337
Start in 2002,2015,28.76309
Start in 2002,2016,28.459602
Start in 2002,2017,28.140492
Start in 2002,2018,27.807285
Start in 2002,2019,27.461418
Start in 2002,2020,27.104239
Start in 2002,2021,26.737018
Start in 2002,2022,26.360946
Start in 2002,2023,25.977144
Start in 2002,2024,25.58666
Start in 2002,2025,25.190479
Start in 2002,2026,24.789522
Start in 2002,2027,24.384652
Start in 2002,2028,23.976674
Start in 2002,2029,23.566343
Start in 2002,2030,23.15436
Start in 2002,2031,22.741381
Start in 2002,2032,22.328016
Start in 2002,2033,21.914831
Start in 2002,2034,21.502355
Start in 2002,2035,21.091074
Start in 2002,2036,20.68144
Start in 2002,2037,20.273873
Start in 2002,2038,19.868757
Start in 2002,2039,19.466448
Start in 2002,2040,19.067271
Start in 2002,2041,18.671525
Start in 2002,2042,18.279484
Start in 2002,2043,17.891396
Start in 2002,2044,17.507488
Start in 2002,2045,17.127965
Start in 2002,2046,16.75301
Start in 2002,2047,16.382789
Start in 2002,2048,16.01745
Start in 2002,2049,15.657123
Start in 2002,2050,15.301923
Start in 2002,2051,14.951949
Start in 2002,2052,14.607289
Start in 2002,2053,14.268014
Start in 2002,2054,13.934187
Start in 2002,2055,13.605855
Start in 2002,2056,13.283057
Start in 2002,2057,12.965823
Start in 2002,2058,12.654172
Start in 2002,2059,12.348115
Start in 2002,2060,12.047654
Start in 2002,2061,11.752784
Start in 2002,2062,11.463493
Start in 2002,2063,11.179764
Start in 2002,2064,10.901572
Start in 2002,2065,10.628888
Start in 2002,2066,10.361676
Start in 2002,2067,10.099898
Start in 2002,2068,9.843509
Start in 2002,2069,9.592461
Start in 2002,2070,9.346705
Start in 2002,2071,9.106184
Start in 2002,2072,8.870841
Start in 2002,2073,8.640617
Start in 2002,2074,8.415448
Start in 2002,2075,8.19527
Start in 2002,2076,7.980016
Start in 2002,2077,7.769618
Start in 2002,2078,7.564006
Start in 2002,2079,7.363109
Start in 2002,2080,7.166854
Start in 2002,2081,6.975168
Start in 2002,2082,6.787978
Start in 2002,2083,6.605208
Start in 2002,2084,6.426784
Start in 2002,2085,6.25263
Start in 2002,2086,6.082671
Start in 2002,2087,5.91683
Start in 2002,2088,5.755033
Start in 2002,2089,5.597203
Start in 2002,2090,5.443265
Start in 2002,2091,5.293144
Start in 2002,2092,5.146765
Start in 2002,2093,5.004053
Start in 2002,2094,4.864935
Start in 2002,2095,4.729337
Start in 2002,2096,4.597186
Start in 2002,2097,4.468411
Start in 2002,2098,4.34294
Start in 2002,2099,4.220702
Start in 2002,2100,4.101627
Start in 2003,2003,31.948771
Start in 2003,2004,32.601468
Start in 2003,2005,33.128607
Start in 2003,2006,33.540261
Start in 2003,2007,33.845849
Start in 2003,2008,34.054173
Start in 2003,2009,34.173452
Start in 2003,2010,34.211358
Start in 2003,2011,34.17505
Start in 2003,2012,34.071204
Start in 2003,2013,33.906041
Start in 2003,2014,33.685358
Start in 2003,2015,33.414549
Start in 2003,2016,33.098633
Start in 2003,2017,32.742277
Start in 2003,2018,32.349814
Start in 2003,2019,31.925268
Start in 2003,2020,31.472374
Start in 2003,2021,30.994588
Start in 2003,2022,30.495116
Start in 2003,2023,29.976919
Start in 2003,2024,29.442736
Start in 2003,2025,28.895096
Start in 2003,2026,28.336328
Start in 2003,2027,27.768581
Start in 2003,2028,27.193827
Start in 2003,2029,26.613881
Start in 2003,2030,26.030405
Start in 2003,2031,25.444921
Start in 2003,2032,24.858821
Start in 2003,2033,24.273372
Start in 2003,2034,23.689729
Start in 2003,2035,23.10894
Start in 2003,2036,22.531955
Start in 2003,2037,21.959628
Start in 2003,2038,21.392732
Start in 2003,2039,20.831957
Start in 2003,2040,20.277919
Start in 2003,2041,19.731168
Start in 2003,2042,19.192186
Start in 2003,2043,18.6614
Start in 2003,2044,18.139179
Start in 2003,2045,17.625842
Start in 2003,2046,17.121664
Start in 2003,2047,16.626873
Start in 2003,2048,16.141658
Start in 2003,2049,15.666173
Start in 2003,2050,15.200538
Start in 2003,2051,14.74484
Start in 2003,2052,14.299139
Start in 2003,2053,13.863468
Start in 2003,2054,13.437839
Start in 2003,2055,13.022239
Start in 2003,2056,12.616637
Start in 2003,2057,12.220983
Start in 2003,2058,11.835213
Start in 2003,2059,11.459245
Start in 2003,2060,11.092987
Start in 2003,2061,10.736333
Start in 2003,2062,10.389167
Start in 2003,2063,10.051366
Start in 2003,2064,9.722794
Start in 2003,2065,9.403313
Start in 2003,2066,9.092774
Start in 2003,2067,8.791026
Start in 2003,2068,8.497912
Start in 2003,2069,8.21327
Start in 2003,2070,7.936937
Start in 2003,2071,7.668745
Start in 2003,2072,7.408527
Start in 2003,2073,7.156111
Start in 2003,2074,6.911327
Start in 2003,2075,6.674002
Start in 2003,2076,6.443965
Start in 2003,2077,6.221043
Start in 2003,2078,6.005066
Start in 2003,2079,5.795863
Start in 2003,2080,5.593265
Start in 2003,2081,5.397104
Start in 2003,2082,5.207213
Start in 2003,2083,5.023429
Start in 2003,2084,4.845588
Start in 2003,2085,4.67353
Start in 2003,2086,4.507098
Start in 2003,2087,4.346135
Start in 2003,2088,4.190488
Start in 2003,2089,4.040007
Start in 2003,2090,3.894544
Start in 2003,2091,3.753954
Start in 2003,2092,3.618095
Start in 2003,2093,3.486827
Start in 2003,2094,3.360013
Start in 2003,2095,3.237521
Start in 2003,2096,3.119219
Start in 2003,2097,3.00498
Start in 2003,2098,2.894678
Start in 2003,2099,2.788193
Start in 2003,2100,2.685405
Start in 2004,2004,33.083227
Start in 2004,2005,33.99124
Start in 2004,2006,34.725781
Start in 2004,2007,35.301926
Start in 2004,2008,35.733678
Start in 2004,2009,36.034031
Start in 2004,2010,36.215047
Start in 2004,2011,36.287905
Start in 2004,2012,36.262969
Start in 2004,2013,36.149832
Start in 2004,2014,35.957378
Start in 2004,2015,35.693818
Start in 2004,2016,35.366744
Start in 2004,2017,34.983164
Start in 2004,2018,34.549546
Start in 2004,2019,34.071852
Start in 2004,2020,33.555572
Start in 2004,2021,33.005758
Start in 2004,2022,32.427053
Start in 2004,2023,31.823721
Start in 2004,2024,31.199669
Start in 2004,2025,30.558478
Start in 2004,2026,29.90342
Start in 2004,2027,29.237485
Start in 2004,2028,28.563397
Start in 2004,2029,27.883636
Start in 2004,2030,27.200454
Start in 2004,2031,26.515891
Start in 2004,2032,25.831794
Start in 2004,2033,25.149826
Start in 2004,2034,24.471485
Start in 2004,2035,23.798112
Start in 2004,2036,23.130906
Start in 2004,2037,22.470933
Start in 2004,2038,21.819137
Start in 2004,2039,21.176351
Start in 2004,2040,20.543302
Start in 2004,2041,19.920623
Start in 2004,2042,19.30886
Start in 2004,2043,18.708478
Start in 2004,2044,18.119867
Start in 2004,2045,17.543351
Start in 2004,2046,16.979192
Start in 2004,2047,16.427595
Start in 2004,2048,15.888715
Start in 2004,2049,15.362657
Start in 2004,2050,14.849488
Start in 2004,2051,14.349233
Start in 2004,2052,13.861883
Start in 2004,2053,13.387398
Start in 2004,2054,12.925711
Start in 2004,2055,12.476727
Start in 2004,2056,12.040329
Start in 2004,2057,11.616383
Start in 2004,2058,11.204733
Start in 2004,2059,10.80521
Start in 2004,2060,10.417629
Start in 2004,2061,10.041796
Start in 2004,2062,9.677504
Start in 2004,2063,9.324539
Start in 2004,2064,8.982679
Start in 2004,2065,8.651695
Start in 2004,2066,8.331355
Start in 2004,2067,8.021421
Start in 2004,2068,7.721654
Start in 2004,2069,7.431811
Start in 2004,2070,7.15165
Start in 2004,2071,6.880927
Start in 2004,2072,6.619399
Start in 2004,2073,6.366822
Start in 2004,2074,6.122955
Start in 2004,2075,5.88756
Start in 2004,2076,5.660397
Start in 2004,2077,5.441233
Start in 2004,2078,5.229835
Start in 2004,2079,5.025975
Start in 2004,2080,4.829427
Start in 2004,2081,4.63997
Start in 2004,2082,4.457385
Start in 2004,2083,4.28146
Start in 2004,2084,4.111985
Start in 2004,2085,3.948754
Start in 2004,2086,3.791567
Start in 2004,2087,3.640228
Start in 2004,2088,3.494544
Start in 2004,2089,3.354328
Start in 2004,2090,3.219398
Start in 2004,2091,3.089576
Start in 2004,2092,2.964688
Start in 2004,2093,2.844565
Start in 2004,2094,2.729043
Start in 2004,2095,2.617963
Start in 2004,2096,2.511168
Start in 2004,2097,2.408508
Start in 2004,2098,2.309837
Start in 2004,2099,2.215012
Start in 2004,2100,2.123895
Start in 2005,2005,33.702877
Start in 2005,2006,34.647346
Start in 2005,2007,35.403562
Start in 2005,2008,35.988491
Start in 2005,2009,36.417848
Start in 2005,2010,36.70618
Start in 2005,2011,36.866944
Start in 2005,2012,36.91258
Start in 2005,2013,36.854585
Start in 2005,2014,36.703571
Start in 2005,2015,36.469329
Start in 2005,2016,36.160886
Start in 2005,2017,35.786556
Start in 2005,2018,35.353994
Start in 2005,2019,34.870234
Start in 2005,2020,34.341742
Start in 2005,2021,33.774448
Start in 2005,2022,33.173791
Start in 2005,2023,32.544747
Start in 2005,2024,31.89187
Start in 2005,2025,31.219316
Start in 2005,2026,30.530874
Start in 2005,2027,29.829994
Start in 2005,2028,29.119813
Start in 2005,2029,28.403173
Start in 2005,2030,27.682649
Start in 2005,2031,26.960566
Start in 2005,2032,26.239019
Start in 2005,2033,25.519888
Start in 2005,2034,24.80486
Start in 2005,2035,24.095439
Start in 2005,2036,23.392962
Start in 2005,2037,22.698613
Start in 2005,2038,22.013435
Start in 2005,2039,21.33834
Start in 2005,2040,20.674122
Start in 2005,2041,20.021465
Start in 2005,2042,19.380954
Start in 2005,2043,18.753081
Start in 2005,2044,18.138256
Start in 2005,2045,17.536811
Start in 2005,2046,16.949009
Start in 2005,2047,16.375052
Start in 2005,2048,15.815081
Start in 2005,2049,15.269188
Start in 2005,2050,14.737416
Start in 2005,2051,14.219767
Start in 2005,2052,13.716205
Start in 2005,2053,13.22666
Start in 2005,2054,12.751029
Start in 2005,2055,12.289186
Start in 2005,2056,11.840977
Start in 2005,2057,11.40623
Start in 2005,2058,10.984752
Start in 2005,2059,10.576335
Start in 2005,2060,10.180757
Start in 2005,2061,9.797783
Start in 2005,2062,9.42717
Start in 2005,2063,9.068663
Start in 2005,2064,8.722004
Start in 2005,2065,8.386926
Start in 2005,2066,8.06316
Start in 2005,2067,7.750434
Start in 2005,2068,7.448471
Start in 2005,2069,7.156997
Start in 2005,2070,6.875734
Start in 2005,2071,6.604407
Start in 2005,2072,6.342741
Start in 2005,2073,6.090463
Start in 2005,2074,5.847302
Start in 2005,2075,5.612992
Start in 2005,2076,5.387267
Start in 2005,2077,5.169867
Start in 2005,2078,4.960535
Start in 2005,2079,4.759018
Start in 2005,2080,4.565068
Start in 2005,2081,4.378443
Start in 2005,2082,4.198903
Start in 2005,2083,4.026216
Start in 2005,2084,3.860153
Start in 2005,2085,3.700491
Start in 2005,2086,3.547013
Start in 2005,2087,3.399506
Start in 2005,2088,3.257763
Start in 2005,2089,3.121584
Start in 2005,2090,2.990772
Start in 2005,2091,2.865137
Start in 2005,2092,2.744492
Start in 2005,2093,2.628659
Start in 2005,2094,2.517462
Start in 2005,2095,2.410732
Start in 2005,2096,2.308305
Start in 2005,2097,2.210021
Start in 2005,2098,2.115725
Start in 2005,2099,2.025269
Start in 2005,2100,1.938507
Start in 2006,2006,34.881629
Start in 2006,2007,35.948735
Start in 2006,2008,36.792601
Start in 2006,2009,37.434575
Start in 2006,2010,37.894329
Start in 2006,2011,38.189984
Start in 2006,2012,38.338214
Start in 2006,2013,38.354358
Start in 2006,2014,38.25251
Start in 2006,2015,38.045614
Start in 2006,2016,37.745547
Start in 2006,2017,37.363194
Start in 2006,2018,36.908526
Start in 2006,2019,36.390665
Start in 2006,2020,35.817948
Start in 2006,2021,35.197984
Start in 2006,2022,34.537714
Start in 2006,2023,33.843453
Start in 2006,2024,33.120947
Start in 2006,2025,32.37541
Start in 2006,2026,31.611568
Start in 2006,2027,30.833697
Start in 2006,2028,30.045657
Start in 2006,2029,29.250926
Start in 2006,2030,28.452629
Start in 2006,2031,27.653568
Start in 2006,2032,26.856247
Start in 2006,2033,26.062897
Start in 2006,2034,25.275497
Start in 2006,2035,24.495797
Start in 2006,2036,23.725336
Start in 2006,2037,22.965459
Start in 2006,2038,22.217338
Start in 2006,2039,21.481981
Start in 2006,2040,20.76025
Start in 2006,2041,20.052874
Start in 2006,2042,19.36046
Start in 2006,2043,18.683504
Start in 2006,2044,18.022404
Start in 2006,2045,17.377465
Start in 2006,2046,16.748913
Start in 2006,2047,16.136896
Start in 2006,2048,15.541501
Start in 2006,2049,14.962752
Start in 2006,2050,14.400621
Start in 2006,2051,13.855032
Start in 2006,2052,13.325867
Start in 2006,2053,12.812973
Start in 2006,2054,12.316161
Start in 2006,2055,11.835215
Start in 2006,2056,11.369895
Start in 2006,2057,10.919937
Start in 2006,2058,10.485061
Start in 2006,2059,10.064969
Start in 2006,2060,9.659352
Start in 2006,2061,9.267889
Start in 2006,2062,8.890252
Start in 2006,2063,8.526104
Start in 2006,2064,8.175106
Start in 2006,2065,7.836912
Start in 2006,2066,7.511177
Start in 2006,2067,7.197554
Start in 2006,2068,6.895697
Start in 2006,2069,6.605261
Start in 2006,2070,6.325904
Start in 2006,2071,6.057285
Start in 2006,2072,5.799069
Start in 2006,2073,5.550925
Start in 2006,2074,5.312527
Start in 2006,2075,5.083553
Start in 2006,2076,4.863689
Start in 2006,2077,4.652625
Start in 2006,2078,4.450059
Start in 2006,2079,4.255695
Start in 2006,2080,4.069244
Start in 2006,2081,3.890424
Start in 2006,2082,3.718959
Start in 2006,2083,3.554582
Start in 2006,2084,3.397032
Start in 2006,2085,3.246056
Start in 2006,2086,3.101407
Start in 2006,2087,2.962846
Start in 2006,2088,2.830141
Start in 2006,2089,2.703068
Start in 2006,2090,2.581408
Start in 2006,2091,2.464951
Start in 2006,2092,2.353493
Start in 2006,2093,2.246836
Start in 2006,2094,2.144789
Start in 2006,2095,2.047168
Start in 2006,2096,1.953795
Start in 2006,2097,1.864499
Start in 2006,2098,1.779112
Start in 2006,2099,1.697476
Start in 2006,2100,1.619437
Start in 2007,2007,34.809941
Start in 2007,2008,35.661538
Start in 2007,2009,36.32013
Start in 2007,2010,36.804053
Start in 2007,2011,37.130227
Start in 2007,2012,37.314254
Start in 2007,2013,37.370513
Start in 2007,2014,37.312247
Start in 2007,2015,37.151641
Start in 2007,2016,36.899899
Start in 2007,2017,36.567315
Start in 2007,2018,36.163337
Start in 2007,2019,35.696631
Start in 2007,2020,35.175134
Start in 2007,2021,34.606111
Start in 2007,2022,33.996202
Start in 2007,2023,33.351469
Start in 2007,2024,32.677442
Start in 2007,2025,31.979151
Start in 2007,2026,31.261173
Start in 2007,2027,30.52766
Start in 2007,2028,29.782374
Start in 2007,2029,29.028717
Start in 2007,2030,28.269757
Start in 2007,2031,27.508257
Start in 2007,2032,26.746697
Start in 2007,2033,25.987297
