Entity,Year,"Annual share of CO2 emissions (OWID based on GCP, 2017)"
Albania,1966,0.0219
Albania,1967,0.0224
Albania,1968,0.0243
Albania,1969,0.0241
Albania,1970,0.0256
Albania,1971,0.0286
Albania,1972,0.0355
Albania,1973,0.0316
Albania,1974,0.026
Albania,1975,0.0275
Albania,1976,0.0281
Albania,1977,0.0316
Albania,1978,0.0345
Albania,1979,0.0393
Albania,1980,0.0269
Albania,1981,0.0392
Albania,1982,0.0392
Albania,1983,0.0405
Albania,1984,0.0403
Albania,1985,0.0392
Albania,1986,0.0395
Albania,1987,0.0353
Albania,1988,0.0335
Albania,1989,0.0405
Albania,1990,0.0245
Albania,1991,0.0191
Albania,1992,0.0114
Albania,1993,0.0105
Albania,1994,0.0086
Albania,1995,0.0091
Albania,1996,0.0086
Albania,1997,0.0065
Albania,1998,0.0074
Albania,1999,0.0125
Albania,2000,0.0123
Albania,2001,0.013
Albania,2002,0.0148
Albania,2003,0.0162
Albania,2004,0.015
Albania,2005,0.0148
Albania,2006,0.0131
Albania,2007,0.0128
Albania,2008,0.014
Albania,2009,0.0141
Albania,2010,0.0141
Albania,2011,0.0155
Albania,2012,0.0143
Albania,2013,0.0147
Albania,2014,0.0164
Albania,2015,0.0169
Albania,2016,0.0173
Algeria,1751,0.0
Algeria,1752,0.0
Algeria,1753,0.0
Algeria,1754,0.0
Algeria,1755,0.0
Algeria,1756,0.0
Algeria,1757,0.0
Algeria,1758,0.0
Algeria,1759,0.0
Algeria,1760,0.0
Algeria,1761,0.0
Algeria,1762,0.0
Algeria,1763,0.0
Algeria,1764,0.0
Algeria,1765,0.0
Algeria,1766,0.0
Algeria,1767,0.0
Algeria,1768,0.0
Algeria,1769,0.0
Algeria,1770,0.0
Algeria,1771,0.0
Algeria,1772,0.0
Algeria,1773,0.0
Algeria,1774,0.0
Algeria,1775,0.0
Algeria,1776,0.0
Algeria,1777,0.0
Algeria,1778,0.0
Algeria,1779,0.0
Algeria,1780,0.0
Algeria,1781,0.0
Algeria,1782,0.0
Algeria,1783,0.0
Algeria,1784,0.0
Algeria,1785,0.0
Algeria,1786,0.0
Algeria,1787,0.0
Algeria,1788,0.0
Algeria,1789,0.0
Algeria,1790,0.0
Algeria,1791,0.0
Algeria,1792,0.0
Algeria,1793,0.0
Algeria,1794,0.0
Algeria,1795,0.0
Algeria,1796,0.0
Algeria,1797,0.0
Algeria,1798,0.0
Algeria,1799,0.0
Algeria,1800,0.0
Algeria,1801,0.0
Algeria,1802,0.0
Algeria,1803,0.0
Algeria,1804,0.0
Algeria,1805,0.0
Algeria,1806,0.0
Algeria,1807,0.0
Algeria,1808,0.0
Algeria,1809,0.0
Algeria,1810,0.0
Algeria,1811,0.0
Algeria,1812,0.0
Algeria,1813,0.0
Algeria,1814,0.0
Algeria,1815,0.0
Algeria,1816,0.0
Algeria,1817,0.0
Algeria,1818,0.0
Algeria,1819,0.0
Algeria,1820,0.0
Algeria,1821,0.0
Algeria,1822,0.0
Algeria,1823,0.0
Algeria,1824,0.0
Algeria,1825,0.0
Algeria,1826,0.0
Algeria,1827,0.0
Algeria,1828,0.0
Algeria,1829,0.0
Algeria,1830,0.0
Algeria,1831,0.0
Algeria,1832,0.0
Algeria,1833,0.0
Algeria,1834,0.0
Algeria,1835,0.0
Algeria,1836,0.0
Algeria,1837,0.0
Algeria,1838,0.0
Algeria,1839,0.0
Algeria,1840,0.0
Algeria,1841,0.0
Algeria,1842,0.0
Algeria,1843,0.0
Algeria,1844,0.0
Algeria,1845,0.0
Algeria,1846,0.0
Algeria,1847,0.0
Algeria,1848,0.0
Algeria,1849,0.0
Algeria,1850,0.0
Algeria,1851,0.0
Algeria,1852,0.0
Algeria,1853,0.0
Algeria,1854,0.0
Algeria,1855,0.0
Algeria,1856,0.0
Algeria,1857,0.0
Algeria,1858,0.0
Algeria,1859,0.0
Algeria,1860,0.0
Algeria,1861,0.0
Algeria,1862,0.0
Algeria,1863,0.0
Algeria,1864,0.0
Algeria,1865,0.0
Algeria,1866,0.0
Algeria,1867,0.0
Algeria,1868,0.0
Algeria,1869,0.0
Algeria,1870,0.0
Algeria,1871,0.0
Algeria,1872,0.0
Algeria,1873,0.0
Algeria,1874,0.0
Algeria,1875,0.0
Algeria,1876,0.0
Algeria,1877,0.0
Algeria,1878,0.0
Algeria,1879,0.0
Algeria,1880,0.0
Algeria,1881,0.0
Algeria,1882,0.0
Algeria,1883,0.0
Algeria,1884,0.0
Algeria,1885,0.0
Algeria,1886,0.0
Algeria,1887,0.0
Algeria,1888,0.0
Algeria,1889,0.0
Algeria,1890,0.0
Algeria,1891,0.0
Algeria,1892,0.0
Algeria,1893,0.0
Algeria,1894,0.0
Algeria,1895,0.0
Algeria,1896,0.0
Algeria,1897,0.0
Algeria,1898,0.0
Algeria,1899,0.0
Algeria,1900,0.0
Algeria,1901,0.0
Algeria,1902,0.0
Algeria,1903,0.0
Algeria,1904,0.0
Algeria,1905,0.0
Algeria,1906,0.0
Algeria,1907,0.0
Algeria,1908,0.0
Algeria,1909,0.0
Algeria,1910,0.0
Algeria,1911,0.0
Algeria,1912,0.0
Algeria,1913,0.0
Algeria,1914,0.0
Algeria,1915,0.0
Algeria,1916,0.0001
Algeria,1917,0.0002
Algeria,1918,0.0005
Algeria,1919,0.0006
Algeria,1920,0.0006
Algeria,1921,0.0008
Algeria,1922,0.0008
Algeria,1923,0.0004
Algeria,1924,0.0008
Algeria,1925,0.0009
Algeria,1926,0.0011
Algeria,1927,0.0015
Algeria,1928,0.0019
Algeria,1929,0.002
Algeria,1930,0.0022
Algeria,1931,0.003
Algeria,1932,0.0039
Algeria,1933,0.0039
Algeria,1934,0.0042
Algeria,1935,0.0038
Algeria,1936,0.0014
Algeria,1937,0.0017
Algeria,1938,0.0009
Algeria,1939,0.004
Algeria,1940,0.0055
Algeria,1941,0.0069
Algeria,1942,0.0106
Algeria,1943,0.0099
Algeria,1944,0.0105
Algeria,1945,0.0159
Algeria,1946,0.0182
Algeria,1947,0.0162
Algeria,1948,0.0166
Algeria,1949,0.0197
Algeria,1950,0.0747
Algeria,1951,0.076
Algeria,1952,0.0712
Algeria,1953,0.0715
Algeria,1954,0.0736
Algeria,1955,0.0749
Algeria,1956,0.0768
Algeria,1957,0.0833
Algeria,1958,0.0765
Algeria,1959,0.0646
Algeria,1960,0.0667
Algeria,1961,0.0655
Algeria,1962,0.0591
Algeria,1963,0.0535
Algeria,1964,0.0531
Algeria,1965,0.0593
Algeria,1966,0.0725
Algeria,1967,0.0704
Algeria,1968,0.0717
Algeria,1969,0.0837
Algeria,1970,0.1031
Algeria,1971,0.1227
Algeria,1972,0.1784
Algeria,1973,0.229
Algeria,1974,0.1911
Algeria,1975,0.1915
Algeria,1976,0.222
Algeria,1977,0.231
Algeria,1978,0.3323
Algeria,1979,0.2362
Algeria,1980,0.3456
Algeria,1981,0.2476
Algeria,1982,0.2105
Algeria,1983,0.2792
Algeria,1984,0.3663
Algeria,1985,0.3621
Algeria,1986,0.3744
Algeria,1987,0.3991
Algeria,1988,0.3837
Algeria,1989,0.3605
Algeria,1990,0.3421
Algeria,1991,0.3521
Algeria,1992,0.3635
Algeria,1993,0.3688
Algeria,1994,0.3851
Algeria,1995,0.4162
Algeria,1996,0.4126
Algeria,1997,0.3692
Algeria,1998,0.4547
Algeria,1999,0.3863
Algeria,2000,0.3585
Algeria,2001,0.3404
Algeria,2002,0.3554
Algeria,2003,0.3449
Algeria,2004,0.3185
Algeria,2005,0.3734
Algeria,2006,0.3402
Algeria,2007,0.3578
Algeria,2008,0.3524
Algeria,2009,0.3924
Algeria,2010,0.3665
Algeria,2011,0.359
Algeria,2012,0.3787
Algeria,2013,0.3897
Algeria,2014,0.4178
Algeria,2015,0.4447
Algeria,2016,0.4418
Andorra,1751,0.0
Andorra,1752,0.0
Andorra,1753,0.0
Andorra,1754,0.0
Andorra,1755,0.0
Andorra,1756,0.0
Andorra,1757,0.0
Andorra,1758,0.0
Andorra,1759,0.0
Andorra,1760,0.0
Andorra,1761,0.0
Andorra,1762,0.0
Andorra,1763,0.0
Andorra,1764,0.0
Andorra,1765,0.0
Andorra,1766,0.0
Andorra,1767,0.0
Andorra,1768,0.0
Andorra,1769,0.0
Andorra,1770,0.0
Andorra,1771,0.0
Andorra,1772,0.0
Andorra,1773,0.0
Andorra,1774,0.0
Andorra,1775,0.0
Andorra,1776,0.0
Andorra,1777,0.0
Andorra,1778,0.0
Andorra,1779,0.0
Andorra,1780,0.0
Andorra,1781,0.0
Andorra,1782,0.0
Andorra,1783,0.0
Andorra,1784,0.0
Andorra,1785,0.0
Andorra,1786,0.0
Andorra,1787,0.0
Andorra,1788,0.0
Andorra,1789,0.0
Andorra,1790,0.0
Andorra,1791,0.0
Andorra,1792,0.0
Andorra,1793,0.0
Andorra,1794,0.0
Andorra,1795,0.0
Andorra,1796,0.0
Andorra,1797,0.0
Andorra,1798,0.0
Andorra,1799,0.0
Andorra,1800,0.0
Andorra,1801,0.0
Andorra,1802,0.0
Andorra,1803,0.0
Andorra,1804,0.0
Andorra,1805,0.0
Andorra,1806,0.0
Andorra,1807,0.0
Andorra,1808,0.0
Andorra,1809,0.0
Andorra,1810,0.0
Andorra,1811,0.0
Andorra,1812,0.0
Andorra,1813,0.0
Andorra,1814,0.0
Andorra,1815,0.0
Andorra,1816,0.0
Andorra,1817,0.0
Andorra,1818,0.0
Andorra,1819,0.0
Andorra,1820,0.0
Andorra,1821,0.0
Andorra,1822,0.0
Andorra,1823,0.0
Andorra,1824,0.0
Andorra,1825,0.0
Andorra,1826,0.0
Andorra,1827,0.0
Andorra,1828,0.0
Andorra,1829,0.0
Andorra,1830,0.0
Andorra,1831,0.0
Andorra,1832,0.0
Andorra,1833,0.0
Andorra,1834,0.0
Andorra,1835,0.0
Andorra,1836,0.0
Andorra,1837,0.0
Andorra,1838,0.0
Andorra,1839,0.0
Andorra,1840,0.0
Andorra,1841,0.0
Andorra,1842,0.0
Andorra,1843,0.0
Andorra,1844,0.0
Andorra,1845,0.0
Andorra,1846,0.0
Andorra,1847,0.0
Andorra,1848,0.0
Andorra,1849,0.0
Andorra,1850,0.0
Andorra,1851,0.0
Andorra,1852,0.0
Andorra,1853,0.0
Andorra,1854,0.0
Andorra,1855,0.0
Andorra,1856,0.0
Andorra,1857,0.0
Andorra,1858,0.0
Andorra,1859,0.0
Andorra,1860,0.0
Andorra,1861,0.0
Andorra,1862,0.0
Andorra,1863,0.0
Andorra,1864,0.0
Andorra,1865,0.0
Andorra,1866,0.0
Andorra,1867,0.0
Andorra,1868,0.0
Andorra,1869,0.0
Andorra,1870,0.0
Andorra,1871,0.0
Andorra,1872,0.0
Andorra,1873,0.0
Andorra,1874,0.0
Andorra,1875,0.0
Andorra,1876,0.0
Andorra,1877,0.0
Andorra,1878,0.0
Andorra,1879,0.0
Andorra,1880,0.0
Andorra,1881,0.0
Andorra,1882,0.0
Andorra,1883,0.0
Andorra,1884,0.0
Andorra,1885,0.0
Andorra,1886,0.0
Andorra,1887,0.0
Andorra,1888,0.0
Andorra,1889,0.0
Andorra,1890,0.0
Andorra,1891,0.0
Andorra,1892,0.0
Andorra,1893,0.0
Andorra,1894,0.0
Andorra,1895,0.0
Andorra,1896,0.0
Andorra,1897,0.0
Andorra,1898,0.0
Andorra,1899,0.0
Andorra,1900,0.0
Andorra,1901,0.0
Andorra,1902,0.0
Andorra,1903,0.0
Andorra,1904,0.0
Andorra,1905,0.0
Andorra,1906,0.0
Andorra,1907,0.0
Andorra,1908,0.0
Andorra,1909,0.0
Andorra,1910,0.0
Andorra,1911,0.0
Andorra,1912,0.0
Andorra,1913,0.0
Andorra,1914,0.0
Andorra,1915,0.0
Andorra,1916,0.0
Andorra,1917,0.0
Andorra,1918,0.0
Andorra,1919,0.0
Andorra,1920,0.0
Andorra,1921,0.0
Andorra,1922,0.0
Andorra,1923,0.0
Andorra,1924,0.0
Andorra,1925,0.0
Andorra,1926,0.0
Andorra,1927,0.0
Andorra,1928,0.0
Andorra,1929,0.0
Andorra,1930,0.0
Andorra,1931,0.0
Andorra,1932,0.0
Andorra,1933,0.0
Andorra,1934,0.0
Andorra,1935,0.0
Andorra,1936,0.0
Andorra,1937,0.0
Andorra,1938,0.0
Andorra,1939,0.0
Andorra,1940,0.0
Andorra,1941,0.0
Andorra,1942,0.0
Andorra,1943,0.0
Andorra,1944,0.0
Andorra,1945,0.0
Andorra,1946,0.0
Andorra,1947,0.0
Andorra,1948,0.0
Andorra,1949,0.0
Andorra,1950,0.0
Andorra,1951,0.0
Andorra,1952,0.0
