Entity,Year,Annual population growth rate (OWID)
World,-9480,0.038050279
World,-9479,0.038044196
World,-9478,0.038046498
World,-9477,0.038040411
World,-9476,0.038034327
World,-9475,0.038036618
World,-9474,0.038030528
World,-9473,0.03802444
World,-9472,0.03802672
World,-9471,0.038012266
World,-9470,0.038022902
World,-9469,0.038008451
World,-9468,0.038010716
World,-9467,0.038004626
World,-9466,0.037998535
World,-9465,0.038000789
World,-9464,0.037986357
World,-9463,0.037996944
World,-9462,0.037982516
World,-9461,0.037984755
World,-9460,0.037978664
World,-9459,0.037972569
World,-9458,0.037974801
World,-9457,0.037968703
World,-9456,0.037962608
World,-9455,0.037964828
World,-9454,0.037958734
World,-9453,0.037952635
World,-9452,0.037954845
World,-9451,0.037940443
World,-9450,0.037942648
World,-9449,0.037944842
World,-9448,0.037938744
World,-9447,0.037932642
World,-9446,0.037926544
World,-9445,0.037928727
World,-9444,0.037922624
World,-9443,0.037916526
World,-9442,0.037918698
World,-9441,0.037904326
World,-9440,0.03791476
World,-9439,0.037900392
World,-9438,0.037902549
World,-9437,0.037896443
World,-9436,0.037898596
World,-9435,0.037892491
World,-9434,0.037886381
World,-9433,0.037880275
World,-9432,0.037882417
World,-9431,0.037876308
World,-9430,0.037870202
World,-9429,0.037872329
World,-9428,0.037866216
World,-9427,0.03786011
World,-9426,0.037862226
World,-9425,0.037856113
World,-9424,0.037850007
World,-9423,0.037852108
World,-9422,0.037845995
World,-9421,0.037839882
World,-9420,0.037841979
World,-9419,0.037835866
World,-9418,0.037829749
World,-9417,0.03782364
World,-9416,0.037825722
World,-9415,0.037827794
World,-9414,0.037813488
World,-9413,0.03781556
World,-9412,0.037809443
World,-9411,0.037811503
World,-9410,0.037805382
World,-9409,0.037799265
World,-9408,0.037793152
World,-9407,0.037795201
World,-9406,0.037797242
World,-9405,0.03778296
World,-9404,0.037784997
World,-9403,0.037778877
World,-9402,0.037780903
World,-9401,0.037774783
World,-9400,0.037768658
World,-9399,0.037762538
World,-9398,0.037764553
World,-9397,0.037766561
World,-9396,0.037752304
World,-9395,0.037754308
World,-9394,0.037748184
World,-9393,0.037750181
World,-9392,0.037744049
World,-9391,0.037737925
World,-9390,0.03773991
World,-9389,0.037733778
World,-9388,0.037727654
World,-9387,0.037729628
World,-9386,0.037723497
World,-9385,0.037717368
World,-9384,0.037719328
World,-9383,0.037713196
World,-9382,0.037707068
World,-9381,0.03770902
World,-9380,0.037702885
World,-9379,0.037696753
World,-9378,0.037698697
World,-9377,0.037692562
World,-9376,0.037694499
World,-9375,0.03768836
World,-9374,0.037682224
World,-9373,0.037676089
World,-9372,0.037678011
World,-9371,0.037679926
World,-9370,0.037665732
World,-9369,0.037667643
World,-9368,0.037669551
World,-9367,0.037655365
World,-9366,0.037657265
World,-9365,0.037659161
World,-9364,0.037644982
World,-9363,0.037654903
World,-9362,0.037640728
World,-9361,0.037642613
World,-9360,0.037636466
World,-9359,0.037638344
World,-9358,0.037632197
World,-9357,0.03762605
World,-9356,0.037627913
World,-9355,0.037621763
World,-9354,0.037615616
World,-9353,0.037617467
World,-9352,0.037611321
World,-9351,0.037605174
World,-9350,0.037607014
World,-9349,0.037608851
World,-9348,0.03759471
World,-9347,0.037596542
World,-9346,0.037590392
World,-9345,0.037592217
World,-9344,0.037586059
World,-9343,0.037587877
World,-9342,0.037581719
World,-9341,0.037575562
World,-9340,0.037569411
World,-9339,0.03757121
World,-9338,0.03757301
World,-9337,0.037558898
World,-9336,0.03756864
World,-9335,0.037554529
World,-9334,0.037556317
World,-9333,0.037550155
World,-9332,0.037551932
World,-9331,0.03754577
World,-9330,0.037539609
World,-9329,0.037541375
World,-9328,0.037535205
World,-9327,0.037536968
World,-9326,0.037530802
World,-9325,0.037524633
World,-9324,0.037526384
World,-9323,0.037520211
World,-9322,0.03751405
World,-9321,0.037515786
World,-9320,0.037509616
World,-9319,0.037511349
World,-9318,0.037505176
World,-9317,0.037499003
World,-9316,0.037500724
World,-9315,0.037494551
World,-9314,0.037496265
World,-9313,0.037490092
World,-9312,0.037483916
World,-9311,0.037485618
World,-9310,0.037479442
World,-9309,0.037481137
World,-9308,0.037474956
World,-9307,0.03746878
World,-9306,0.037470464
World,-9305,0.037464283
World,-9304,0.03746596
World,-9303,0.03745193
World,-9302,0.037461445
World,-9301,0.037455264
World,-9300,0.03744908
World,-9299,0.0374429
World,-9298,0.037444554
World,-9297,0.037446205
World,-9296,0.03743219
World,-9295,0.037441663
World,-9294,0.037427649
World,-9293,0.037429288
World,-9292,0.037430916
World,-9291,0.037416913
World,-9290,0.037426349
World,-9289,0.037412349
World,-9288,0.03741397
World,-9287,0.037415583
World,-9286,0.037409388
World,-9285,0.0374032
World,-9284,0.037404802
World,-9283,0.037398607
World,-9282,0.037392411
World,-9281,0.037394006
World,-9280,0.037387811
World,-9279,0.037389398
World,-9278,0.037383202
World,-9277,0.037384778
World,-9276,0.037378579
World,-9275,0.037380148
World,-9274,0.037366182
World,-9273,0.03737551
World,-9272,0.037361547
World,-9271,0.037363108
World,-9270,0.037364658
World,-9269,0.037358455
World,-9268,0.037352249
World,-9267,0.037353795
World,-9266,0.03735533
World,-9265,0.037341382
World,-9264,0.037342913
World,-9263,0.037344441
World,-9262,0.037338231
World,-9261,0.037332021
World,-9260,0.037333541
World,-9259,0.037327331
World,-9258,0.037328839
World,-9257,0.037322626
World,-9256,0.037324131
World,-9255,0.037317913
World,-9254,0.037311699
World,-9253,0.037313193
World,-9252,0.037306976
World,-9251,0.037308458
World,-9250,0.037302244
World,-9249,0.03730372
World,-9248,0.037297498
World,-9247,0.037291281
World,-9246,0.037292749
World,-9245,0.037294209
World,-9244,0.037280302
World,-9243,0.037289441
World,-9242,0.037275542
World,-9241,0.037276991
World,-9240,0.037278436
World,-9239,0.037272207
World,-9238,0.037273645
World,-9237,0.037259758
World,-9236,0.037268847
World,-9235,0.037262615
World,-9234,0.037256382
World,-9233,0.037257805
World,-9232,0.037251573
World,-9231,0.037245341
World,-9230,0.037246753
World,-9229,0.037248157
World,-9228,0.037241921
World,-9227,0.037235688
World,-9226,0.037237082
World,-9225,0.037238471
World,-9224,0.037224609
World,-9223,0.037233613
World,-9222,0.037219755
World,-9221,0.037228748
World,-9220,0.037214894
World,-9219,0.037216265
World,-9218,0.037217624
World,-9217,0.037211385
World,-9216,0.037205141
World,-9215,0.037206497
World,-9214,0.037207846
World,-9213,0.037201595
World,-9212,0.037195351
World,-9211,0.037196688
World,-9210,0.037190441
World,-9209,0.037191775
World,-9208,0.03718552
World,-9207,0.03718685
World,-9206,0.037180595
World,-9205,0.037174344
World,-9204,0.037183225
World,-9203,0.037169404
World,-9202,0.037170716
World,-9201,0.037172016
World,-9200,0.037165757
World,-9199,0.037159499
World,-9198,0.037160795
World,-9197,0.03716208
World,-9196,0.037148278
World,-9195,0.037157103
World,-9194,0.037150837
World,-9193,0.037144575
World,-9192,0.037145846
World,-9191,0.03713958
World,-9190,0.037140846
World,-9189,0.03713458
World,-9188,0.037135836
World,-9187,0.037129566
World,-9186,0.037130814
World,-9185,0.037124548
World,-9184,0.037125789
World,-9183,0.037119519
World,-9182,0.037113246
World,-9181,0.037121978
World,-9180,0.037108205
World,-9179,0.037109431
World,-9178,0.037110649
World,-9177,0.037104372
World,-9176,0.037105586
World,-9175,0.037099306
World,-9174,0.037093028
World,-9173,0.037101712
World,-9172,0.037087951
World,-9171,0.037089147
World,-9170,0.037090339
World,-9169,0.03708405
World,-9168,0.03707777
World,-9167,0.037086416
World,-9166,0.037072666
World,-9165,0.037073839
World,-9164,0.037075005
World,-9163,0.037068717
World,-9162,0.037069879
World,-9161,0.037063587
World,-9160,0.037057299
World,-9159,0.03705845
World,-9158,0.037059594
World,-9157,0.037053302
World,-9156,0.037054442
World,-9155,0.037048146
World,-9154,0.037049275
World,-9153,0.037042979
World,-9152,0.037036683
World,-9151,0.037045226
World,-9150,0.037031509
World,-9149,0.037032623
World,-9148,0.037033733
World,-9147,0.03702743
World,-9146,0.037028532
World,-9145,0.037029631
World,-9144,0.037015922
World,-9143,0.037024416
World,-9142,0.037018105
World,-9141,0.037011798
World,-9140,0.037012879
World,-9139,0.037006568
World,-9138,0.037007645
World,-9137,0.037008714
World,-9136,0.037002396
World,-9135,0.036996085
World,-9134,0.036997147
World,-9133,0.036998201
World,-9132,0.036991883
World,-9131,0.036985569
World,-9130,0.036986616
World,-9129,0.036987655
World,-9128,0.036981337
World,-9127,0.036982369
World,-9126,0.036976047
World,-9125,0.036977071
World,-9124,0.036978092
World,-9123,0.036964424
World,-9122,0.03697278
World,-9121,0.036966454
World,-9120,0.036960129
World,-9119,0.036961131
World,-9118,0.036962133
World,-9117,0.0369558
World,-9116,0.036956791
World,-9115,0.036950458
World,-9114,0.036951445
World,-9113,0.036945112
World,-9112,0.036946092
World,-9111,0.036939755
World,-9110,0.036940727
World,-9109,0.036934387
World,-9108,0.036935356
World,-9107,0.036936313
World,-9106,0.036929969
World,-9105,0.036930926
World,-9104,0.036924578
World,-9103,0.036925524
World,-9102,0.03691918
World,-9101,0.036920119
World,-9100,0.036913775
World,-9099,0.036914706
World,-9098,0.03691563
World,-9097,0.036909278
World,-9096,0.036910199
World,-9095,0.036903847
World,-9094,0.03690476
World,-9093,0.036898404
World,-9092,0.036899313
World,-9091,0.036892954
World,-9090,0.036893856
World,-9089,0.03689475
World,-9088,0.036888391
World,-9087,0.036889274
World,-9086,0.036882915
World,-9085,0.036883794
World,-9084,0.036877431
World,-9083,0.036878306
World,-9082,0.036879171
World,-9081,0.036872804
World,-9080,0.036866438
World,-9079,0.036874525
World,-9078,0.036868151
World,-9077,0.036861781
World,-9076,0.03686263
World,-9075,0.03685626
World,-9074,0.036864311
World,-9073,0.036850724
World,-9072,0.036858764
World,-9071,0.036845181
World,-9070,0.036853209
World,-9069,0.036846828
World,-9068,0.036847647
World,-9067,0.036841266
World,-9066,0.036842074
World,-9065,0.036835689
World,-9064,0.036836494
World,-9063,0.036830112
World,-9062,0.036838084
World,-9061,0.036824521
World,-9060,0.036832485
World,-9059,0.036818922
World,-9058,0.036826875
World,-9057,0.036820482
World,-9056,0.036821254
World,-9055,0.036814861
World,-9054,0.036815628
World,-9053,0.036809232
World,-9052,0.036809988
World,-9051,0.036810745
World,-9050,0.036804345
World,-9049,0.03680509
World,-9048,0.03679869
World,-9047,0.036799435
World,-9046,0.036800168
World,-9045,0.036793765
World,-9044,0.036794491
World,-9043,0.036788087
World,-9042,0.03678881
World,-9041,0.036789525
World,-9040,0.036783118
World,-9039,0.036783829
World,-9038,0.036784533
World,-9037,0.036778118
World,-9036,0.036771707
World,-9035,0.036779512
World,-9034,0.036773093
World,-9033,0.036766678
World,-9032,0.036767364
World,-9031,0.036768042
World,-9030,0.036761623
World,-9029,0.036762297
World,-9028,0.036762968
World,-9027,0.036756542
World,-9026,0.036757205
World,-9025,0.036750779
World,-9024,0.036758512
World,-9023,0.036745004
World,-9022,0.036752727
World,-9021,0.036746297
World,-9020,0.036739867
World,-9019,0.036740504
World,-9018,0.036741134
World,-9017,0.03674176
World,-9016,0.036735326
World,-9015,0.036728892
World,-9014,0.036736563
World,-9013,0.036730122
World,-9012,0.036723685
World,-9011,0.036724292
World,-9010,0.036724895
World,-9009,0.036725491
World,-9008,0.036719047
World,-9007,0.036719635
World,-9006,0.03671319
World,-9005,0.036713775
World,-9004,0.036714353
World,-9003,0.036707904
World,-9002,0.036708478
World,-9001,0.036709044
World,-9000,0.036702592
