Entity,Year,Child Mortality Estimates (CME Info (2016))
Albania,2008,13.8
Albania,2009,12.8
Albania,2010,12.0
Albania,2011,11.3
Albania,2012,10.7
Albania,2013,10.1
Albania,2014,9.7
Albania,2015,9.4
Albania,2016,9.1
Albania,2017,8.8
Algeria,1954,244.1
Algeria,1955,243.4
Algeria,1956,243.1
Algeria,1957,242.2
Algeria,1958,241.8
Algeria,1959,241.7
Algeria,1960,241.7
Algeria,1961,242.2
Algeria,1962,242.8
Algeria,1963,243.7
Algeria,1964,245.0
Algeria,1965,246.2
Algeria,1966,247.0
Algeria,1967,247.1
Algeria,1968,246.3
Algeria,1969,244.0
Algeria,1970,240.0
Algeria,1971,234.9
Algeria,1972,228.5
Algeria,1973,221.0
Algeria,1974,212.4
Algeria,1975,203.1
Algeria,1976,193.4
Algeria,1977,183.4
Algeria,1978,172.9
Algeria,1979,161.7
Algeria,1980,149.1
Algeria,1981,134.5
Algeria,1982,118.3
Algeria,1983,102.0
Algeria,1984,86.9
Algeria,1985,74.3
Algeria,1986,64.8
Algeria,1987,58.4
Algeria,1988,54.0
Algeria,1989,51.3
Algeria,1990,49.6
Algeria,1991,48.3
Algeria,1992,47.2
Algeria,1993,46.1
Algeria,1994,44.9
Algeria,1995,43.7
Algeria,1996,42.5
Algeria,1997,41.6
Algeria,1998,40.8
Algeria,1999,40.2
Algeria,2000,39.7
Algeria,2001,38.9
Algeria,2002,37.8
Algeria,2003,36.5
Algeria,2004,35.0
Algeria,2005,33.5
Algeria,2006,32.1
Algeria,2007,30.7
Algeria,2008,29.4
Algeria,2009,28.3
Algeria,2010,27.4
Algeria,2011,26.7
Algeria,2012,26.1
Algeria,2013,25.7
Algeria,2014,25.3
Algeria,2015,24.9
Algeria,2016,24.5
Algeria,2017,24.0
Andorra,1985,11.7
Andorra,1986,11.0
Andorra,1987,10.3
Andorra,1988,9.7
Andorra,1989,9.1
Andorra,1990,8.5
Andorra,1991,8.0
Andorra,1992,7.5
Andorra,1993,7.1
Andorra,1994,6.7
Andorra,1995,6.3
Andorra,1996,6.0
Andorra,1997,5.7
Andorra,1998,5.4
Andorra,1999,5.2
Andorra,2000,5.0
Andorra,2001,4.8
Andorra,2002,4.7
Andorra,2003,4.5
Andorra,2004,4.4
Andorra,2005,4.3
Andorra,2006,4.2
Andorra,2007,4.2
Andorra,2008,4.1
Andorra,2009,4.0
Andorra,2010,3.9
Andorra,2011,3.9
Andorra,2012,3.8
Andorra,2013,3.7
Andorra,2014,3.6
Andorra,2015,3.5
Andorra,2016,3.4
Andorra,2017,3.3
Angola,1980,235.6
Angola,1981,233.0
Angola,1982,230.8
Angola,1983,228.6
Angola,1984,226.9
Angola,1985,225.5
Angola,1986,224.7
Angola,1987,224.1
Angola,1988,223.8
Angola,1989,223.5
Angola,1990,223.5
Angola,1991,223.6
Angola,1992,223.7
Angola,1993,223.8
Angola,1994,223.5
Angola,1995,222.7
Angola,1996,221.3
Angola,1997,218.9
Angola,1998,215.6
Angola,1999,211.4
Angola,2000,206.3
Angola,2001,200.3
Angola,2002,193.4
Angola,2003,185.7
Angola,2004,177.0
Angola,2005,167.8
Angola,2006,158.2
Angola,2007,148.7
Angola,2008,139.3
Angola,2009,130.0
Angola,2010,121.3
Angola,2011,113.2
Angola,2012,105.8
Angola,2013,99.2
Angola,2014,93.6
Angola,2015,88.9
Angola,2016,84.6
Angola,2017,81.1
Antigua and Barbuda,1985,35.5
Antigua and Barbuda,1986,33.4
Antigua and Barbuda,1987,31.5
Antigua and Barbuda,1988,29.6
Antigua and Barbuda,1989,27.9
Antigua and Barbuda,1990,26.3
Antigua and Barbuda,1991,24.7
Antigua and Barbuda,1992,23.3
Antigua and Barbuda,1993,22.0
Antigua and Barbuda,1994,20.7
Antigua and Barbuda,1995,19.5
Antigua and Barbuda,1996,18.4
Antigua and Barbuda,1997,17.4
Antigua and Barbuda,1998,16.5
Antigua and Barbuda,1999,15.6
Antigua and Barbuda,2000,14.9
Antigua and Barbuda,2001,14.2
Antigua and Barbuda,2002,13.6
Antigua and Barbuda,2003,13.0
Antigua and Barbuda,2004,12.5
Antigua and Barbuda,2005,12.0
Antigua and Barbuda,2006,11.5
Antigua and Barbuda,2007,11.1
Antigua and Barbuda,2008,10.7
Antigua and Barbuda,2009,10.3
Antigua and Barbuda,2010,9.8
Antigua and Barbuda,2011,9.5
Antigua and Barbuda,2012,9.1
Antigua and Barbuda,2013,8.7
Antigua and Barbuda,2014,8.3
Antigua and Barbuda,2015,8.0
Antigua and Barbuda,2016,7.7
Antigua and Barbuda,2017,7.4
Argentina,1969,73.1
Argentina,1970,72.3
Argentina,1971,71.5
Argentina,1972,70.3
Argentina,1973,68.8
Argentina,1974,66.6
Argentina,1975,63.9
Argentina,1976,60.4
Argentina,1977,56.2
Argentina,1978,51.7
Argentina,1979,47.4
Argentina,1980,43.5
Argentina,1981,40.1
Argentina,1982,37.2
Argentina,1983,34.7
Argentina,1984,32.7
Argentina,1985,31.1
Argentina,1986,29.9
Argentina,1987,29.3
Argentina,1988,29.1
Argentina,1989,29.0
Argentina,1990,28.8
Argentina,1991,28.3
Argentina,1992,27.6
Argentina,1993,26.5
Argentina,1994,25.5
Argentina,1995,24.4
Argentina,1996,23.4
Argentina,1997,22.4
Argentina,1998,21.5
Argentina,1999,20.6
Argentina,2000,19.8
Argentina,2001,19.0
Argentina,2002,18.3
Argentina,2003,17.6
Argentina,2004,17.0
Argentina,2005,16.5
Argentina,2006,16.1
Argentina,2007,15.7
Argentina,2008,15.4
Argentina,2009,15.0
Argentina,2010,14.5
Argentina,2011,13.9
Argentina,2012,13.3
Argentina,2013,12.7
Argentina,2014,12.0
Argentina,2015,11.4
Argentina,2016,10.9
Argentina,2017,10.4
Armenia,1976,88.0
Armenia,1977,84.4
Armenia,1978,81.1
Armenia,1979,77.9
Armenia,1980,74.9
Armenia,1981,71.9
Armenia,1982,69.1
Armenia,1983,66.4
Armenia,1984,63.9
Armenia,1985,61.4
Armenia,1986,59.0
Armenia,1987,56.6
Armenia,1988,81.9
Armenia,1989,51.9
Armenia,1990,49.6
Armenia,1991,47.3
Armenia,1992,45.0
Armenia,1993,42.8
Armenia,1994,40.6
Armenia,1995,38.6
Armenia,1996,36.7
Armenia,1997,34.9
Armenia,1998,33.2
Armenia,1999,31.6
Armenia,2000,30.0
Armenia,2001,28.5
Armenia,2002,27.1
Armenia,2003,25.8
Armenia,2004,24.5
Armenia,2005,23.3
Armenia,2006,22.1
Armenia,2007,21.0
Armenia,2008,20.0
Armenia,2009,19.0
Armenia,2010,18.0
Armenia,2011,17.1
Armenia,2012,16.3
Armenia,2013,15.5
Armenia,2014,14.7
Armenia,2015,14.0
Armenia,2016,13.3
Armenia,2017,12.6
Australia,1950,31.6
Australia,1951,31.0
Australia,1952,30.3
Australia,1953,29.5
Australia,1954,28.7
Australia,1955,28.0
Australia,1956,27.3
Australia,1957,26.6
Australia,1958,26.0
Australia,1959,25.4
Australia,1960,24.9
Australia,1961,24.3
Australia,1962,23.7
Australia,1963,23.2
Australia,1964,22.7
Australia,1965,22.4
Australia,1966,22.1
Australia,1967,22.0
Australia,1968,21.9
Australia,1969,21.7
Australia,1970,21.5
Australia,1971,21.0
Australia,1972,20.3
Australia,1973,19.4
Australia,1974,18.4
Australia,1975,17.3
Australia,1976,16.2
Australia,1977,15.2
Australia,1978,14.4
Australia,1979,13.6
Australia,1980,13.0
Australia,1981,12.6
Australia,1982,12.2
Australia,1983,11.9
Australia,1984,11.6
Australia,1985,11.3
Australia,1986,11.0
Australia,1987,10.6
Australia,1988,10.2
Australia,1989,9.7
Australia,1990,9.2
Australia,1991,8.7
Australia,1992,8.2
Australia,1993,7.7
Australia,1994,7.3
Australia,1995,7.0
Australia,1996,6.8
Australia,1997,6.6
Australia,1998,6.4
Australia,1999,6.3
Australia,2000,6.2
Australia,2001,6.1
Australia,2002,6.0
Australia,2003,5.9
Australia,2004,5.8
Australia,2005,5.7
Australia,2006,5.6
Australia,2007,5.4
Australia,2008,5.2
Australia,2009,5.0
Australia,2010,4.8
Australia,2011,4.6
Australia,2012,4.3
Australia,2013,4.2
Australia,2014,4.0
Australia,2015,3.8
Australia,2016,3.7
Australia,2017,3.5
Austria,1954,54.9
Austria,1955,53.3
Austria,1956,51.7
Austria,1957,50.0
Austria,1958,47.9
Austria,1959,45.4
Austria,1960,42.8
Austria,1961,40.2
Austria,1962,37.9
Austria,1963,35.9
Austria,1964,34.2
Austria,1965,32.7
Austria,1966,31.5
Austria,1967,30.5
Austria,1968,29.8
Austria,1969,29.4
Austria,1970,29.1
Austria,1971,28.7
Austria,1972,28.0
Austria,1973,26.8
Austria,1974,25.1
Austria,1975,23.0
Austria,1976,21.1
Austria,1977,19.4
Austria,1978,18.1
Austria,1979,17.1
Austria,1980,16.2
Austria,1981,15.5
Austria,1982,14.8
Austria,1983,14.0
Austria,1984,13.3
Austria,1985,12.6
Austria,1986,11.9
Austria,1987,11.2
Austria,1988,10.5
Austria,1989,10.0
Austria,1990,9.5
Austria,1991,9.0
Austria,1992,8.5
Austria,1993,7.9
Austria,1994,7.4
Austria,1995,6.8
Austria,1996,6.4
Austria,1997,6.0
Austria,1998,5.8
Austria,1999,5.6
Austria,2000,5.5
Austria,2001,5.4
Austria,2002,5.3
Austria,2003,5.2
Austria,2004,5.1
Austria,2005,4.9
Austria,2006,4.8
Austria,2007,4.6
Austria,2008,4.5
Austria,2009,4.4
Austria,2010,4.3
Austria,2011,4.2
Austria,2012,4.1
Austria,2013,3.9
Austria,2014,3.8
Austria,2015,3.7
Austria,2016,3.6
Austria,2017,3.6
Azerbaijan,1982,108.9
Azerbaijan,1983,106.4
Azerbaijan,1984,104.1
Azerbaijan,1985,101.8
Azerbaijan,1986,99.7
Azerbaijan,1987,98.0
Azerbaijan,1988,96.6
Azerbaijan,1989,95.6
Azerbaijan,1990,95.3
Azerbaijan,1991,95.5
Azerbaijan,1992,95.9
Azerbaijan,1993,96.1
Azerbaijan,1994,95.7
Azerbaijan,1995,94.3
Azerbaijan,1996,92.1
Azerbaijan,1997,88.9
Azerbaijan,1998,84.6
Azerbaijan,1999,79.8
Azerbaijan,2000,74.7
Azerbaijan,2001,69.5
Azerbaijan,2002,64.5
Azerbaijan,2003,59.9
Azerbaijan,2004,55.7
Azerbaijan,2005,52.0
Azerbaijan,2006,48.7
Azerbaijan,2007,45.6
Azerbaijan,2008,42.7
Azerbaijan,2009,40.0
Azerbaijan,2010,37.4
Azerbaijan,2011,35.0
Azerbaijan,2012,32.6
Azerbaijan,2013,30.4
Azerbaijan,2014,28.4
Azerbaijan,2015,26.4
Azerbaijan,2016,24.6
Azerbaijan,2017,23.0
Bahamas,1968,29.3
Bahamas,1969,30.0
Bahamas,1970,30.6
Bahamas,1971,31.2
Bahamas,1972,31.7
Bahamas,1973,32.1
Bahamas,1974,32.3
Bahamas,1975,32.2
Bahamas,1976,31.9
Bahamas,1977,31.5
Bahamas,1978,31.0
Bahamas,1979,30.5
Bahamas,1980,29.9
Bahamas,1981,29.4
Bahamas,1982,28.9
Bahamas,1983,28.6
Bahamas,1984,28.3
Bahamas,1985,27.8
Bahamas,1986,27.3
Bahamas,1987,26.6
Bahamas,1988,25.6
Bahamas,1989,24.6
Bahamas,1990,23.5
Bahamas,1991,22.5
Bahamas,1992,21.5
Bahamas,1993,20.6
Bahamas,1994,19.7
Bahamas,1995,18.8
Bahamas,1996,17.9
Bahamas,1997,17.2
Bahamas,1998,16.6
Bahamas,1999,16.2
Bahamas,2000,16.0
Bahamas,2001,15.9
Bahamas,2002,15.8
Bahamas,2003,15.7
Bahamas,2004,15.5
Bahamas,2005,15.2
Bahamas,2006,14.7
Bahamas,2007,14.1
Bahamas,2008,13.3
Bahamas,2009,12.5
Bahamas,2010,11.7
Bahamas,2011,10.8
Bahamas,2012,10.0
Bahamas,2013,9.3
Bahamas,2014,8.6
Bahamas,2015,8.0
Bahamas,2016,7.6
Bahamas,2017,7.2
Bahrain,1956,282.8
Bahrain,1957,259.7
Bahrain,1958,238.0
Bahrain,1959,218.2
Bahrain,1960,200.0
Bahrain,1961,182.9
Bahrain,1962,166.8
Bahrain,1963,152.0
Bahrain,1964,138.3
Bahrain,1965,125.5
Bahrain,1966,113.7
Bahrain,1967,102.9
Bahrain,1968,92.9
Bahrain,1969,83.7
Bahrain,1970,75.4
Bahrain,1971,68.0
Bahrain,1972,61.4
Bahrain,1973,55.7
Bahrain,1974,50.7
Bahrain,1975,46.3
Bahrain,1976,42.6
Bahrain,1977,39.4
Bahrain,1978,36.6
Bahrain,1979,34.1
Bahrain,1980,32.0
Bahrain,1981,30.1
Bahrain,1982,28.5
Bahrain,1983,27.2
Bahrain,1984,26.0
Bahrain,1985,25.0
Bahrain,1986,24.2
Bahrain,1987,23.7
Bahrain,1988,23.4
Bahrain,1989,23.2
Bahrain,1990,23.0
Bahrain,1991,22.7
Bahrain,1992,22.1
Bahrain,1993,21.0
Bahrain,1994,19.7
Bahrain,1995,18.1
Bahrain,1996,16.6
Bahrain,1997,15.2
Bahrain,1998,14.0
Bahrain,1999,13.1
Bahrain,2000,12.5
Bahrain,2001,12.0
Bahrain,2002,11.6
Bahrain,2003,11.3
Bahrain,2004,11.0
Bahrain,2005,10.7
Bahrain,2006,10.3
Bahrain,2007,9.8
Bahrain,2008,9.3
Bahrain,2009,8.9
Bahrain,2010,8.5
Bahrain,2011,8.2
Bahrain,2012,8.0
Bahrain,2013,7.8
Bahrain,2014,7.7
Bahrain,2015,7.6
Bahrain,2016,7.5
Bahrain,2017,7.3
Bangladesh,1950,344.6
Bangladesh,1951,334.4
Bangladesh,1952,324.6
Bangladesh,1953,314.8
Bangladesh,1954,305.6
Bangladesh,1955,297.0
Bangladesh,1956,288.7
Bangladesh,1957,280.8
Bangladesh,1958,273.3
Bangladesh,1959,266.0
Bangladesh,1960,259.2
Bangladesh,1961,252.8
Bangladesh,1962,247.0
Bangladesh,1963,241.6
Bangladesh,1964,236.7
Bangladesh,1965,232.6
Bangladesh,1966,229.3
Bangladesh,1967,226.6
Bangladesh,1968,224.6
Bangladesh,1969,223.2
Bangladesh,1970,222.2
Bangladesh,1971,221.4
Bangladesh,1972,220.7
Bangladesh,1973,219.6
Bangladesh,1974,218.2
Bangladesh,1975,216.1
Bangladesh,1976,213.5
Bangladesh,1977,210.4
Bangladesh,1978,206.8
Bangladesh,1979,202.7
Bangladesh,1980,198.3
Bangladesh,1981,193.8
Bangladesh,1982,189.0
Bangladesh,1983,184.0
Bangladesh,1984,178.7
Bangladesh,1985,173.2
Bangladesh,1986,167.5
Bangladesh,1987,161.6
Bangladesh,1988,155.7
Bangladesh,1989,149.7
Bangladesh,1990,143.8
Bangladesh,1991,137.7
Bangladesh,1992,131.7
Bangladesh,1993,125.8
Bangladesh,1994,119.8
Bangladesh,1995,114.0
Bangladesh,1996,108.3
Bangladesh,1997,102.8
Bangladesh,1998,97.5
Bangladesh,1999,92.4
Bangladesh,2000,87.4
Bangladesh,2001,82.8
Bangladesh,2002,78.4
Bangladesh,2003,74.1
Bangladesh,2004,70.1
Bangladesh,2005,66.2
Bangladesh,2006,62.5
Bangladesh,2007,58.9
Bangladesh,2008,55.6
Bangladesh,2009,52.3
Bangladesh,2010,49.2
Bangladesh,2011,46.3
Bangladesh,2012,43.6
Bangladesh,2013,41.0
Bangladesh,2014,38.6
Bangladesh,2015,36.4
Bangladesh,2016,34.3
Bangladesh,2017,32.4
Barbados,1954,169.2
Barbados,1955,145.6
Barbados,1956,126.4
Barbados,1957,111.2
Barbados,1958,99.4
Barbados,1959,90.5
Barbados,1960,83.7
Barbados,1961,78.0
Barbados,1962,73.1
Barbados,1963,68.7
Barbados,1964,64.8
Barbados,1965,61.3
Barbados,1966,58.2
Barbados,1967,55.5
Barbados,1968,53.0
Barbados,1969,50.5
Barbados,1970,48.2
Barbados,1971,45.8
Barbados,1972,43.4
Barbados,1973,41.1
Barbados,1974,38.9
Barbados,1975,36.7
Barbados,1976,34.6
Barbados,1977,32.6
Barbados,1978,30.7
Barbados,1979,28.9
Barbados,1980,27.3
Barbados,1981,25.9
Barbados,1982,24.7
Barbados,1983,23.7
Barbados,1984,22.8
Barbados,1985,22.0
Barbados,1986,21.2
Barbados,1987,20.4
Barbados,1988,19.6
Barbados,1989,18.7
Barbados,1990,17.9
Barbados,1991,17.1
Barbados,1992,16.4
Barbados,1993,15.7
Barbados,1994,15.3
Barbados,1995,14.9
Barbados,1996,14.7
Barbados,1997,14.7
Barbados,1998,14.8
Barbados,1999,14.9
Barbados,2000,15.2
Barbados,2001,15.4
Barbados,2002,15.6
Barbados,2003,15.8
Barbados,2004,15.8
Barbados,2005,15.7
Barbados,2006,15.5
Barbados,2007,15.3
Barbados,2008,15.0
Barbados,2009,14.8
Barbados,2010,14.5
Barbados,2011,14.2
Barbados,2012,14.0
Barbados,2013,13.7
Barbados,2014,13.4
Barbados,2015,13.1
Barbados,2016,12.8
Barbados,2017,12.4
Belarus,1980,21.0
Belarus,1981,20.2
Belarus,1982,19.4
Belarus,1983,18.8
Belarus,1984,18.1
Belarus,1985,17.6
Belarus,1986,17.0
Belarus,1987,16.4
Belarus,1988,15.9
Belarus,1989,15.5
Belarus,1990,15.2
Belarus,1991,15.2
Belarus,1992,15.3
Belarus,1993,15.5
Belarus,1994,15.7
Belarus,1995,15.7
Belarus,1996,15.5
Belarus,1997,15.1
Belarus,1998,14.5
Belarus,1999,13.7
Belarus,2000,12.8
Belarus,2001,11.8
Belarus,2002,10.9
Belarus,2003,10.0
Belarus,2004,9.3
Belarus,2005,8.5
Belarus,2006,7.9
Belarus,2007,7.2
Belarus,2008,6.6
Belarus,2009,6.0
Belarus,2010,5.5
Belarus,2011,5.1
Belarus,2012,4.8
Belarus,2013,4.5
Belarus,2014,4.3
Belarus,2015,4.1
Belarus,2016,3.9
Belarus,2017,3.7
Belgium,1953,51.3
Belgium,1954,48.3
Belgium,1955,45.5
Belgium,1956,42.7
Belgium,1957,40.1
Belgium,1958,37.7
Belgium,1959,35.6
Belgium,1960,33.9
Belgium,1961,32.4
Belgium,1962,31.1
Belgium,1963,30.0
Belgium,1964,28.9
Belgium,1965,27.9
Belgium,1966,27.0
Belgium,1967,26.2
Belgium,1968,25.5
Belgium,1969,24.8
Belgium,1970,23.9
Belgium,1971,23.0
Belgium,1972,21.9
Belgium,1973,20.8
Belgium,1974,19.6
Belgium,1975,18.6
Belgium,1976,17.6
Belgium,1977,16.7
Belgium,1978,15.9
Belgium,1979,15.2
Belgium,1980,14.5
Belgium,1981,13.9
Belgium,1982,13.3
Belgium,1983,12.7
Belgium,1984,12.2
Belgium,1985,11.8
Belgium,1986,11.4
Belgium,1987,11.0
Belgium,1988,10.7
Belgium,1989,10.3
Belgium,1990,10.0
Belgium,1991,9.6
Belgium,1992,9.2
Belgium,1993,8.7
Belgium,1994,8.2
Belgium,1995,7.6
Belgium,1996,7.1
Belgium,1997,6.7
Belgium,1998,6.4
Belgium,1999,6.1
Belgium,2000,5.9
Belgium,2001,5.7
Belgium,2002,5.5
Belgium,2003,5.3
Belgium,2004,5.2
Belgium,2005,5.0
Belgium,2006,4.9
Belgium,2007,4.8
Belgium,2008,4.7
Belgium,2009,4.6
Belgium,2010,4.5
Belgium,2011,4.4
Belgium,2012,4.3
Belgium,2013,4.2
Belgium,2014,4.1
Belgium,2015,4.0
Belgium,2016,3.9
Belgium,2017,3.8
Belize,1967,109.9
Belize,1968,105.2
Belize,1969,100.7
Belize,1970,96.4
Belize,1971,92.4
Belize,1972,88.7
Belize,1973,85.1
Belize,1974,81.8
Belize,1975,78.7
Belize,1976,75.7
Belize,1977,72.7
Belize,1978,70.1
Belize,1979,67.4
Belize,1980,64.8
Belize,1981,62.2
Belize,1982,59.8
Belize,1983,57.1
Belize,1984,54.5
Belize,1985,51.9
Belize,1986,49.1
Belize,1987,46.4
Belize,1988,43.7
Belize,1989,41.0
Belize,1990,38.5
Belize,1991,36.2
Belize,1992,34.1
Belize,1993,32.2
Belize,1994,30.6
Belize,1995,29.1
Belize,1996,27.8
Belize,1997,26.6
Belize,1998,25.5
Belize,1999,24.6
Belize,2000,23.7
Belize,2001,22.9
Belize,2002,22.2
Belize,2003,21.7
Belize,2004,21.3
Belize,2005,20.9
Belize,2006,20.6
Belize,2007,20.3
Belize,2008,19.9
Belize,2009,19.5
Belize,2010,19.0
Belize,2011,18.4
Belize,2012,17.8
Belize,2013,17.1
Belize,2014,16.4
Belize,2015,15.6
Belize,2016,14.9
Belize,2017,14.2
Benin,1950,343.6
Benin,1951,341.6
Benin,1952,340.3
Benin,1953,338.9
Benin,1954,337.2
Benin,1955,335.5
Benin,1956,333.5
Benin,1957,331.3
Benin,1958,328.8
Benin,1959,325.5
Benin,1960,321.2
Benin,1961,315.9
Benin,1962,309.9
Benin,1963,303.1
Benin,1964,295.7
Benin,1965,288.6
Benin,1966,282.1
Benin,1967,276.6
Benin,1968,272.3
Benin,1969,268.7
Benin,1970,265.4
Benin,1971,262.2
Benin,1972,258.3
Benin,1973,253.5
Benin,1974,247.9
Benin,1975,241.5
Benin,1976,234.6
Benin,1977,228.1
Benin,1978,222.4
Benin,1979,217.5
Benin,1980,213.5
Benin,1981,210.3
Benin,1982,207.2
Benin,1983,204.1
Benin,1984,200.8
Benin,1985,197.5
Benin,1986,193.9
Benin,1987,190.3
Benin,1988,186.4
Benin,1989,182.2
Benin,1990,177.8
Benin,1991,173.0
Benin,1992,168.3
Benin,1993,163.8
Benin,1994,159.8
Benin,1995,156.5
Benin,1996,154.0
Benin,1997,151.8
Benin,1998,149.3
Benin,1999,146.6
Benin,2000,143.2
Benin,2001,139.5
Benin,2002,135.5
Benin,2003,131.4
Benin,2004,127.5
Benin,2005,123.9
Benin,2006,121.0
Benin,2007,118.6
Benin,2008,116.7
Benin,2009,115.0
Benin,2010,113.6
Benin,2011,112.2
Benin,2012,110.5
Benin,2013,108.5
Benin,2014,106.2
Benin,2015,103.7
Benin,2016,101.0
Benin,2017,98.3
Bhutan,1969,277.8
Bhutan,1970,269.6
Bhutan,1971,261.8
Bhutan,1972,254.1
Bhutan,1973,246.3
Bhutan,1974,238.7
Bhutan,1975,231.2
Bhutan,1976,223.7
Bhutan,1977,216.4
