Entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
Argentina,2001,3212.0
Argentina,2002,2977.0
Argentina,2003,3009.0
Argentina,2004,3028.0
Argentina,2005,3107.0
Argentina,2006,3114.0
Argentina,2007,3145.0
Argentina,2008,3158.0
Argentina,2009,3132.0
Argentina,2010,3155.0
Argentina,2011,3161.0
Argentina,2012,3197.0
Argentina,2013,3229.0
Argentina,2014,3245.0
Argentina,2015,3307.0
Argentina,2016,3247.0
Argentina,2017,3269.0
Argentina,2018,3307.0
Armenia,1992,2184.0
Armenia,1993,2099.0
Armenia,1994,2181.0
Armenia,1995,2270.0
Armenia,1996,2320.0
Armenia,1997,2330.0
Armenia,1998,2320.0
Armenia,1999,2288.0
Armenia,2000,2236.0
Armenia,2001,2239.0
Armenia,2002,2259.0
Armenia,2003,2432.0
Armenia,2004,2554.0
Armenia,2005,2668.0
Armenia,2006,2757.0
Armenia,2007,2761.0
Armenia,2008,2869.0
Armenia,2009,2819.0
Armenia,2010,2768.0
Armenia,2011,2788.0
Armenia,2012,2882.0
Armenia,2013,2928.0
Armenia,2014,3069.0
Armenia,2015,3090.0
Armenia,2016,3051.0
Armenia,2017,3072.0
Armenia,2018,2997.0
Asia,1961,1737.700854
Asia,1962,1799.715271
Asia,1963,1812.299701
Asia,1964,1858.245249
Asia,1965,1892.107292
Asia,1966,1921.630014
Asia,1967,1914.879347
Asia,1968,1905.125419
Asia,1969,1915.059895
Asia,1970,1984.778722
Asia,1971,1948.343072
Asia,1972,1943.701987
Asia,1973,2000.31846
Asia,1974,1974.389284
Asia,1975,2004.676822
Asia,1976,1964.12765
Asia,1977,2024.922451
Asia,1978,2111.091373
Asia,1979,2092.064678
Asia,1980,2107.553259
Asia,1981,2135.426888
Asia,1982,2190.733949
Asia,1983,2273.157893
Asia,1984,2290.654936
Asia,1985,2271.201339
Asia,1986,2273.969398
Asia,1987,2293.535885
Asia,1988,2317.619595
Asia,1989,2347.936659
Asia,1990,2326.418222
Asia,1991,2315.780353
Asia,1992,2397.167937
Asia,1993,2408.818789
Asia,1994,2446.393381
Asia,1995,2491.716387
Asia,1996,2503.831103
Asia,1997,2518.624677
Asia,1998,2530.951781
Asia,1999,2547.644841
Asia,2000,2556.181189
Asia,2001,2542.754949
Asia,2002,2535.223131
Asia,2003,2541.317716
Asia,2004,2550.500496
Asia,2005,2563.54609
Asia,2006,2585.942894
Asia,2007,2628.541368
Asia,2008,2654.765423
Asia,2009,2662.397297
Asia,2010,2695.845432
Asia,2011,2717.368891
Asia,2012,2725.41306
Asia,2013,2738.419639
Asia,2014,2757.855263
Asia,2015,2772.122177
Asia,2016,2779.069058
Asia,2017,2801.550495
Asia,2018,2812.002276
Australia,1947,3262.0
Australia,1948,3265.0
Australia,1961,3091.0
Australia,1962,3113.0
Australia,1963,3169.0
Australia,1964,3146.0
Australia,1965,3095.0
Australia,1966,3166.0
Australia,1967,3106.0
Australia,1968,3127.0
Australia,1969,3131.0
Australia,1970,3159.0
Australia,1971,3183.0
Australia,1972,3221.0
Australia,1973,3098.0
Australia,1974,3018.0
Australia,1975,3093.0
Australia,1976,3115.0
Australia,1977,3071.0
Australia,1978,3022.0
Australia,1979,3009.0
Australia,1980,3060.0
Australia,1981,3069.0
Australia,1982,3104.0
Australia,1983,3038.0
Australia,1984,3083.0
Australia,1985,3121.0
Australia,1986,3083.0
Australia,1987,3110.0
Australia,1988,3115.0
Australia,1989,3133.0
Australia,1990,3174.0
Australia,1991,3121.0
Australia,1992,3125.0
Australia,1993,3042.0
Australia,1994,3054.0
Australia,1995,3099.0
Australia,1996,3077.0
Australia,1997,3096.0
Australia,1998,3015.0
Australia,1999,3014.0
Australia,2000,2991.0
Australia,2001,3048.0
Australia,2002,3077.0
Australia,2003,3104.0
Australia,2004,3052.0
Australia,2005,3099.0
Australia,2006,3156.0
Australia,2007,3198.0
Australia,2008,3199.0
Australia,2009,3205.0
Australia,2010,3213.0
Australia,2011,3237.0
Australia,2012,3257.0
Australia,2013,3276.0
Australia,2014,3407.0
Australia,2015,3393.0
Australia,2016,3416.0
Australia,2017,3406.0
Australia,2018,3391.0
Austria,1947,2397.0
Austria,1948,2698.0
Austria,1961,3191.0
Austria,1962,3193.0
Austria,1963,3248.0
Austria,1964,3270.0
Austria,1965,3220.0
Austria,1966,3232.0
Austria,1967,3194.0
Austria,1968,3221.0
Austria,1969,3153.0
Austria,1970,3217.0
Austria,1971,3230.0
Austria,1972,3207.0
Austria,1973,3294.0
Austria,1974,3201.0
Austria,1975,3142.0
Austria,1976,3243.0
Austria,1977,3192.0
Austria,1978,3213.0
Austria,1979,3283.0
Austria,1980,3355.0
Austria,1981,3348.0
Austria,1982,3400.0
Austria,1983,3360.0
Austria,1984,3361.0
Austria,1985,3374.0
Austria,1986,3429.0
Austria,1987,3420.0
Austria,1988,3422.0
Austria,1989,3478.0
Austria,1990,3510.0
Austria,1991,3556.0
Austria,1992,3546.0
Austria,1993,3508.0
Austria,1994,3557.0
Austria,1995,3510.0
Austria,1996,3551.0
Austria,1997,3494.0
Austria,1998,3608.0
Austria,1999,3673.0
Austria,2000,3726.0
Austria,2001,3728.0
Austria,2002,3652.0
Austria,2003,3609.0
Austria,2004,3606.0
Austria,2005,3640.0
Austria,2006,3719.0
Austria,2007,3737.0
Austria,2008,3717.0
Austria,2009,3723.0
Austria,2010,3724.0
Austria,2011,3735.0
Austria,2012,3739.0
Austria,2013,3768.0
Austria,2014,3672.0
Austria,2015,3664.0
Austria,2016,3659.0
Austria,2017,3687.0
Austria,2018,3695.0
Azerbaijan,1992,2318.0
Azerbaijan,1993,2235.0
Azerbaijan,1994,2159.0
Azerbaijan,1995,2126.0
Azerbaijan,1996,2223.0
Azerbaijan,1997,2021.0
Azerbaijan,1998,2119.0
Azerbaijan,1999,2185.0
Azerbaijan,2000,2282.0
Azerbaijan,2001,2371.0
Azerbaijan,2002,2461.0
Azerbaijan,2003,2554.0
Azerbaijan,2004,2639.0
Azerbaijan,2005,2837.0
Azerbaijan,2006,3006.0
Azerbaijan,2007,3019.0
Azerbaijan,2008,3026.0
Azerbaijan,2009,2995.0
Azerbaijan,2010,2973.0
Azerbaijan,2011,3039.0
Azerbaijan,2012,3055.0
Azerbaijan,2013,3118.0
Azerbaijan,2014,3093.0
Azerbaijan,2015,3093.0
Azerbaijan,2016,3081.0
Azerbaijan,2017,3137.0
Azerbaijan,2018,3149.0
Bahamas,1961,2447.0
Bahamas,1962,2389.0
Bahamas,1963,2378.0
Bahamas,1964,2428.0
Bahamas,1965,2447.0
Bahamas,1966,2557.0
Bahamas,1967,2497.0
Bahamas,1968,2551.0
Bahamas,1969,2592.0
Bahamas,1970,2615.0
Bahamas,1971,2594.0
Bahamas,1972,2517.0
Bahamas,1973,2456.0
Bahamas,1974,2398.0
Bahamas,1975,2341.0
Bahamas,1976,2360.0
Bahamas,1977,2216.0
Bahamas,1978,2177.0
Bahamas,1979,2264.0
Bahamas,1980,2627.0
Bahamas,1981,2499.0
Bahamas,1982,2749.0
Bahamas,1983,2686.0
Bahamas,1984,2655.0
Bahamas,1985,2702.0
Bahamas,1986,2741.0
Bahamas,1987,2737.0
Bahamas,1988,2788.0
Bahamas,1989,2777.0
Bahamas,1990,2714.0
Bahamas,1991,2607.0
Bahamas,1992,2503.0
Bahamas,1993,2420.0
Bahamas,1994,2421.0
Bahamas,1995,2535.0
Bahamas,1996,2536.0
Bahamas,1997,2651.0
Bahamas,1998,2601.0
Bahamas,1999,2703.0
Bahamas,2000,2779.0
Bahamas,2001,2765.0
Bahamas,2002,2725.0
Bahamas,2003,2686.0
Bahamas,2004,2662.0
Bahamas,2005,2648.0
Bahamas,2006,2627.0
Bahamas,2007,2605.0
Bahamas,2008,2585.0
Bahamas,2009,2619.0
Bahamas,2010,2598.0
Bahamas,2011,2568.0
Bahamas,2012,2671.0
Bahamas,2013,2670.0
Bahamas,2014,2636.0
Bahamas,2015,2609.0
Bahamas,2016,2625.0
Bahamas,2017,2644.0
Bahamas,2018,2655.0
Bangladesh,1961,2154.0
Bangladesh,1962,2128.0
Bangladesh,1963,2174.0
Bangladesh,1964,2158.0
Bangladesh,1965,2122.0
Bangladesh,1966,2111.0
Bangladesh,1967,1970.0
Bangladesh,1968,2073.0
Bangladesh,1969,2127.0
Bangladesh,1970,2200.0
Bangladesh,1971,2034.0
Bangladesh,1972,1877.0
Bangladesh,1973,1977.0
Bangladesh,1974,2054.0
Bangladesh,1975,1946.0
Bangladesh,1976,2091.0
Bangladesh,1977,1899.0
Bangladesh,1978,2032.0
Bangladesh,1979,2084.0
Bangladesh,1980,2023.0
Bangladesh,1981,1998.0
Bangladesh,1982,2030.0
Bangladesh,1983,2052.0
Bangladesh,1984,2029.0
Bangladesh,1985,2068.0
Bangladesh,1986,2066.0
Bangladesh,1987,2136.0
Bangladesh,1988,2108.0
Bangladesh,1989,2085.0
Bangladesh,1990,2111.0
Bangladesh,1991,2116.0
Bangladesh,1992,2111.0
Bangladesh,1993,2010.0
Bangladesh,1994,2003.0
Bangladesh,1995,2043.0
Bangladesh,1996,2048.0
Bangladesh,1997,2096.0
Bangladesh,1998,2161.0
Bangladesh,1999,2266.0
Bangladesh,2000,2258.0
Bangladesh,2001,2331.0
Bangladesh,2002,2313.0
Bangladesh,2003,2350.0
Bangladesh,2004,2382.0
Bangladesh,2005,2372.0
Bangladesh,2006,2372.0
Bangladesh,2007,2417.0
Bangladesh,2008,2386.0
Bangladesh,2009,2425.0
Bangladesh,2010,2439.0
Bangladesh,2011,2429.0
Bangladesh,2012,2435.0
Bangladesh,2013,2450.0
Bangladesh,2014,2494.0
Bangladesh,2015,2520.0
Bangladesh,2016,2522.0
Bangladesh,2017,2562.0
Bangladesh,2018,2563.0
Barbados,1961,2512.0
Barbados,1962,2575.0
Barbados,1963,2648.0
Barbados,1964,2609.0
Barbados,1965,2592.0
Barbados,1966,2610.0
Barbados,1967,2806.0
Barbados,1968,2706.0
Barbados,1969,2700.0
Barbados,1970,2814.0
Barbados,1971,3017.0
Barbados,1972,2906.0
Barbados,1973,2965.0
Barbados,1974,2857.0
Barbados,1975,2794.0
Barbados,1976,2856.0
Barbados,1977,2877.0
Barbados,1978,2976.0
Barbados,1979,2881.0
Barbados,1980,3050.0
Barbados,1981,3041.0
Barbados,1982,2934.0
Barbados,1983,2981.0
Barbados,1984,2927.0
Barbados,1985,2917.0
Barbados,1986,3067.0
Barbados,1987,3112.0
Barbados,1988,3085.0
Barbados,1989,3133.0
Barbados,1990,3106.0
Barbados,1991,3006.0
Barbados,1992,2983.0
Barbados,1993,2912.0
Barbados,1994,2905.0
Barbados,1995,2867.0
Barbados,1996,2905.0
Barbados,1997,2970.0
Barbados,1998,2805.0
Barbados,1999,2942.0
Barbados,2000,2802.0
Barbados,2001,2835.0
Barbados,2002,2806.0
Barbados,2003,2838.0
Barbados,2004,2770.0
Barbados,2005,2888.0
Barbados,2006,2838.0
Barbados,2007,2906.0
Barbados,2008,2884.0
Barbados,2009,2909.0
Barbados,2010,2909.0
Barbados,2011,2892.0
Barbados,2012,2912.0
Barbados,2013,2937.0
Barbados,2014,2913.0
Barbados,2015,2950.0
Barbados,2016,2936.0
Barbados,2017,2911.0
Barbados,2018,2956.0
Belarus,1992,3099.0
Belarus,1993,3194.0
Belarus,1994,3125.0
Belarus,1995,3195.0
Belarus,1996,3284.0
Belarus,1997,3282.0
Belarus,1998,3219.0
Belarus,1999,3117.0
Belarus,2000,2993.0
Belarus,2001,3046.0
Belarus,2002,2981.0
Belarus,2003,2821.0
Belarus,2004,2901.0
Belarus,2005,2987.0
Belarus,2006,3084.0
Belarus,2007,3186.0
Belarus,2008,3200.0
Belarus,2009,3126.0
Belarus,2010,3196.0
Belarus,2011,3400.0
Belarus,2012,3400.0
Belarus,2013,3250.0
Belarus,2014,3335.0
Belarus,2015,3186.0
Belarus,2016,3240.0
Belarus,2017,3346.0
Belarus,2018,3270.0
Belgium,1800,2840.0
Belgium,1812,2248.0
Belgium,1846,2238.5
Belgium,1850,2423.0
Belgium,1860,2426.0
Belgium,1870,2553.0
Belgium,1880,2663.0
Belgium,1890,2851.0
Belgium,1900,2987.0
Belgium,1910,3278.0
Belgium,1930,2940.0
Belgium,1947,2667.0
Belgium,1948,2760.0
Belgium,2000,3709.0
Belgium,2001,3747.0
Belgium,2002,3749.0
Belgium,2003,3717.0
Belgium,2004,3722.0
Belgium,2005,3716.0
Belgium,2006,3716.0
Belgium,2007,3713.0
Belgium,2008,3702.0
Belgium,2009,3697.0
Belgium,2010,3707.0
Belgium,2011,3720.0
Belgium,2012,3715.0
Belgium,2013,3733.0
Belgium,2014,3789.0
Belgium,2015,3804.0
Belgium,2016,3774.0
Belgium,2017,3768.0
Belgium,2018,3769.0
Belize,1961,2123.0
Belize,1962,2228.0
Belize,1963,2274.0
Belize,1964,2267.0
Belize,1965,2274.0
Belize,1966,2256.0
Belize,1967,2286.0
Belize,1968,2257.0
Belize,1969,2245.0
Belize,1970,2279.0
Belize,1971,2305.0
Belize,1972,2318.0
Belize,1973,2314.0
Belize,1974,2380.0
Belize,1975,2413.0
Belize,1976,2394.0
Belize,1977,2437.0
Belize,1978,2519.0
Belize,1979,2551.0
Belize,1980,2652.0
Belize,1981,2665.0
Belize,1982,2629.0
Belize,1983,2496.0
Belize,1984,2499.0
Belize,1985,2474.0
Belize,1986,2448.0
Belize,1987,2542.0
Belize,1988,2504.0
Belize,1989,2439.0
Belize,1990,2484.0
Belize,1991,2521.0
Belize,1992,2707.0
Belize,1993,2690.0
Belize,1994,2649.0
Belize,1995,2693.0
Belize,1996,2647.0
Belize,1997,2660.0
Belize,1998,2651.0
Belize,1999,2640.0
Belize,2000,2688.0
Belize,2001,2757.0
Belize,2002,2778.0
Belize,2003,2806.0
Belize,2004,2776.0
Belize,2005,2818.0
Belize,2006,2800.0
Belize,2007,2793.0
Belize,2008,2719.0
Belize,2009,2763.0
Belize,2010,2839.0
Belize,2011,2761.0
Belize,2012,2735.0
Belize,2013,2751.0
Belize,2014,2627.0
Belize,2015,2677.0
Belize,2016,2679.0
Belize,2017,2712.0
Belize,2018,2775.0
Benin,1961,1736.0
Benin,1962,1758.0
Benin,1963,1703.0
Benin,1964,1669.0
Benin,1965,1812.0
Benin,1966,1804.0
Benin,1967,1833.0
Benin,1968,1935.0
Benin,1969,1871.0
Benin,1970,1812.0
Benin,1971,1890.0
Benin,1972,1797.0
Benin,1973,1877.0
Benin,1974,1750.0
Benin,1975,1596.0
Benin,1976,1899.0
Benin,1977,1840.0
Benin,1978,1880.0
Benin,1979,1980.0
Benin,1980,1875.0
Benin,1981,1833.0
Benin,1982,1861.0
Benin,1983,1746.0
Benin,1984,1977.0
Benin,1985,1966.0
Benin,1986,1986.0
Benin,1987,1822.0
Benin,1988,1927.0
Benin,1989,2111.0
Benin,1990,2134.0
Benin,1991,2198.0
Benin,1992,2142.0
Benin,1993,2155.0
Benin,1994,2179.0
Benin,1995,2203.0
Benin,1996,2251.0
Benin,1997,2243.0
Benin,1998,2236.0
Benin,1999,2234.0
Benin,2000,2245.0
Benin,2001,2315.0
Benin,2002,2401.0
Benin,2003,2360.0
Benin,2004,2461.0
Benin,2005,2435.0
Benin,2006,2450.0
Benin,2007,2564.0
Benin,2008,2521.0
Benin,2009,2565.0
Benin,2010,2555.0
Benin,2011,2598.0
Benin,2012,2610.0
Benin,2013,2619.0
Benin,2014,2739.0
Benin,2015,2726.0
Benin,2016,2742.0
Benin,2017,2756.0
Benin,2018,2755.0
Bolivia,1961,1732.0
Bolivia,1962,1761.0
Bolivia,1963,1810.0
Bolivia,1964,1744.0
Bolivia,1965,1831.0
Bolivia,1966,1835.0
Bolivia,1967,1889.0
Bolivia,1968,1934.0
Bolivia,1969,1911.0
